player_code,player_id,first_name,second_name,web_name,team_code,position
469272,190,Loum,Tchaouna,Tchaouna,9,Midfielder
492498,191,Raphael,Borges Rodrigues,Borges Rodrigues,9,Midfielder
176412,193,Haji,Wright,Wright,9,Forward
230730,194,Brandon,Thomas-Asante,Thomas-Asante,9,Forward
218997,195,Ellis,Simms,Simms,9,Forward
551262,196,Jahnoah,Markelo,Markelo,9,Forward
549653,197,Norman,Bassette,Bassette,9,Forward
629397,192,Kai,Andrews,Andrews,9,Midfielder
661888,575,Caleb,Yirenkyi,Yirenkyi,9,Midfielder
196100,584,Gustavo,Hamer,Hamer,9,Midfielder
627221,599,Sidiki,Cherif,Cherif,9,Forward
79602,623,Dan,Bentley,Bentley,9,Goalkeeper
485337,42,Evann,Guessand,Guessand,31,Midfielder
220362,153,Axel,Disasi,Disasi,31,Defender
172649,198,Dean,Henderson,Henderson,31,Goalkeeper
121709,199,Walter,Benítez,Benitez,31,Goalkeeper
247348,201,Daniel,Muñoz Mejía,Muñoz,31,Defender
427623,202,Chris,Richards,Richards,31,Defender
651426,203,Jaydee,Canvot,Canvot,31,Defender
244723,204,Tyrick,Mitchell,Mitchell,31,Defender
218364,205,Borna,Sosa,Sosa,31,Defender
515621,206,Chadi,Riad Dnanou,Chadi Riad,31,Defender
242313,207,Oscar,Mingueza,Mingueza,31,Defender
232185,208,Ismaïla,Sarr,Sarr,31,Midfielder
496221,210,Adam,Wharton,Wharton,31,Midfielder
488024,211,Yéremy,Pino Santos,Yeremy,31,Midfielder
108413,212,Will,Hughes,Hughes,31,Midfielder
152551,213,Jefferson,Lerma Solís,Lerma,31,Midfielder
209400,214,Daichi,Kamada,Kamada,31,Midfielder
489706,215,Justin,Devenny,Devenny,31,Midfielder
606921,216,Romain,Esse,Esse,31,Midfielder
536694,217,Matheus,França de Oliveira,M.França,31,Midfielder
438464,218,Cheick,Doucouré,Doucouré,31,Midfielder
450542,219,Jesurun,Rak-Sakyi,J.Rak-Sakyi,31,Midfielder
590014,220,Rio,Cardines,Cardines,31,Defender
672492,221,Joél,Drakes-Thomas,Drakes-Thomas,31,Midfielder
247412,222,Jørgen,Strand Larsen,Strand Larsen,31,Forward
231747,223,Jean-Philippe,Mateta,Mateta,31,Forward
205533,224,Eddie,Nketiah,Nketiah,31,Forward
660392,225,Christantus,Uche,Uche,31,Forward
433154,241,Dwight,McNeil,McNeil,31,Midfielder
169593,555,Remi,Matthews,Matthews,31,Goalkeeper
223723,577,Takehiro,Tomiyasu,Tomiyasu,31,Defender
570794,588,Anan,Khalaili,Khalaili,31,Defender
559152,595,Zavier,Gozo,Gozo,31,Midfielder
128295,21,Christian,Nørgaard,Nørgaard,11,Midfielder
242898,209,Brennan,Johnson,Johnson,11,Midfielder
111234,226,Jordan,Pickford,Pickford,11,Goalkeeper
229600,227,Mark,Travers,Travers,11,Goalkeeper
138001,228,Tom,King,King,11,Goalkeeper
17761,229,James,Tarkowski,Tarkowski,11,Defender
480455,230,Jarrad,Branthwaite,Branthwaite,11,Defender
106611,231,Michael,Keane,Keane,11,Defender
512462,232,Jake,O'Brien,O'Brien,11,Defender
224967,233,Vitalii,Mykolenko,Mykolenko,11,Defender
243571,234,Nathan,Patterson,Patterson,11,Defender
499300,235,Adam,Aznou,Aznou,11,Defender
215413,236,Kiernan,Dewsbury-Hall,Dewsbury-Hall,11,Midfielder
440993,237,Iliman,Ndiaye,Ndiaye,11,Midfielder
232928,239,James,Garner,Garner,11,Midfielder
490094,240,Tim,Iroegbunam,Iroegbunam,11,Midfielder
550615,242,Tyrique,George,George,11,Midfielder
502697,243,Carlos,Alcaraz Durán,Alcaraz,11,Midfielder
609873,244,Harrison,Armstrong,Armstrong,11,Midfielder
496661,245,Tyler,Dibling,Dibling,11,Midfielder
513466,246,Merlin,Röhl,Röhl,11,Midfielder
244860,247,Hayden,Hackney,Hackney,11,Midfielder
486385,248,Norberto Bercique,Gomes Betuncal,Beto,11,Forward
586309,249,Thierno,Barry,Barry,11,Forward
80201,250,Bernd,Leno,Leno,54,Goalkeeper
