id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
568,Pedro,Porro Sauceda,Pedro Porro,a,,,5.6,133,,20.4,17,,3.0,,,1,0,,1,,10717,81728,0.5,5.5,3.0,3.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,1,90,0,0,0,2,0,0,0,0,0,0,1,0,10,44577,190404,0.0,0.0,0.020000000000000018,0.020000000000000018,0.3199999999999994,14.599999999999994,24.099999999999994,2.0,4.100000000000001,1,2,6,9
569,Cristian,Romero,Romero,d,Muscle injury - 50% chance of playing,,5.1,238,,6.4,61,,1.0,,,0,0,,1,,2169,81450,0.2,6.3,0.5,1.0,,,,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15859,139117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
570,Kevin,Danso,Danso,a,,,4.3,591,,0.1,401,,0.3,,,0,0,,-2,,344,475,0.1,0.7,0.3,0.3,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,90,0,0,0,2,0,0,0,1,0,0,1,0,7,682,1436,0.0,0.0,0.02,0.02,0.32000000000000006,18.799999999999997,1.8,0.0,2.1,0,9,3,12
571,Ben,Davies,Davies,i,Hamstring injury - Unknown return date,,4.3,590,,0.1,504,,0.0,,,0,0,,-2,,14,361,0.0,0.0,0.0,0.0,,,,0.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
572,Radu,Drăgușin,Dragusin,i,Knee injury - Unknown return date,,4.5,438,,0.0,717,,0.0,,,0,0,,0,,26,20,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
573,Djed,Spence,Spence,a,,,4.5,413,,1.9,138,,1.0,,,1,0,,0,,2201,11709,0.2,4.9,1.0,1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,1,85,0,0,0,2,0,0,0,0,0,0,1,0,-1,6705,35142,0.0,0.0,0.01999999999999999,0.020000000000000018,0.1900000000000004,10.0,2.799999999999997,2.0,1.5,2,3,2,7
574,Destiny,Udogie,Udogie,d,Knee injury - 50% chance of playing,,4.4,537,,0.5,227,,1.3,,,0,0,,-1,,529,4719,0.3,1.6,0.7,1.3,,,,50.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4440,8369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
575,Micky,van de Ven,Van de Ven,a,,,4.7,385,,32.1,8,,1.3,,,0,-1,,2,,17252,148400,0.3,6.8,1.3,1.3,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,90,0,0,0,2,0,0,0,1,0,0,1,0,3,68527,305726,0.0,0.10000000000000009,0.010000000000000009,0.10999999999999999,0.3200000000000003,11.0,1.2999999999999972,4.0,1.5999999999999979,0,4,5,9
576,Ashley,Phillips,Phillips,u,Has joined Stoke City on loan for the rest of the season.,,4.0,680,,0.0,677,,0.0,,,0,0,,0,,0,16,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
577,Takai,Kōta,Takai,d,Foot injury - 50% chance of playing,,4.0,683,,0.1,551,,0.0,,,0,0,,0,,23,130,0.0,0.0,0.0,0.0,,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
578,Luka,Vušković,Vuskovic,u,has joined Hamburger SV on loan for the rest of the season.,,3.9,743,,0.4,254,,0.0,,,0,0,,-1,,0,1396,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
579,Son,Heung-min,Son,u,Has joined Los Angeles FC permanently.,,8.5,10,,0.1,423,,0.0,,,0,0,,0,,0,105,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
580,Brennan,Johnson,Johnson,a,,,6.8,45,,3.8,90,,1.0,,,1,0,,-2,,748,27473,0.1,3.4,1.0,1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3273,108680,0.0,0.05999999999999994,0.0,0.06000000000000005,0.1200000000000001,0.0,0.10000000000000142,4.0,0.40000000000000213,0,1,0,1
581,James,Maddison,Maddison,i,Anterior cruciate ligament - Unknown return date,,6.9,39,,0.1,427,,0.0,,,0,0,,-1,,41,152,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
582,Mohammed,Kudus,Kudus,a,Knock - 50% chance of playing,,6.8,48,,35.2,4,,5.3,,,2,0,,3,,94726,80584,0.8,6.0,5.3,5.3,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,2,90,0,0,0,2,0,0,0,0,0,0,1,0,6,511373,154643,0.0,0.0,0.07000000000000006,0.06999999999999984,0.3200000000000003,11.199999999999989,40.099999999999994,8.0,5.899999999999999,2,1,6,9
583,Dejan,Kulusevski,Kulusevski,i,Knee injury - Unknown return date,,6.4,66,,0.0,686,,0.0,,,0,0,,-1,,15,36,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
584,Mathys,Tel,Tel,a,,,6.3,78,,0.1,408,,3.7,,,1,0,,-2,,1159,1095,0.6,2.5,3.7,3.7,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,1,59,0,0,0,1,0,0,0,0,0,0,1,0,-2,4526,2110,0.0,0.0,0.010000000000000002,0.009999999999999981,0.1200000000000001,0.0,0.8000000000000007,8.0,0.7999999999999989,1,0,4,5
585,Rodrigo,Bentancur,Bentancur,a,,,5.3,204,,0.2,376,,6.0,,,12,0,,-2,,3429,431,1.1,4.9,6.0,6.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,12,85,1,0,0,2,0,0,0,0,0,0,1,3,36,4270,1250,0.0,0.12000000000000001,0.010000000000000009,0.12999999999999995,0.1900000000000004,55.2,12.600000000000001,19.0,8.7,3,6,3,12
586,Lucas,Bergvall,Bergvall,a,Head injury - 75% chance of playing,,5.4,194,,0.5,235,,0.7,,,1,0,,-1,,694,5826,0.1,4.1,0.7,0.7,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,1,11,0,0,0,0,0,0,0,0,0,0,0,0,3,2512,20687,0.0,0.0,0.0,0.0,0.1200000000000001,4.200000000000003,1.3999999999999986,0.0,0.6000000000000014,2,1,0,3
587,Yves,Bissouma,Bissouma,i,Ankle injury - Unknown return date,,5.2,224,,0.0,588,,0.0,,,0,0,,-3,,22,105,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
588,Wilson,Odobert,Odobert,a,,,5.3,216,,0.0,610,,1.7,,,2,0,,-2,,158,122,0.3,2.1,1.7,1.7,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,2,78,0,0,0,2,0,0,0,0,0,0,1,0,7,373,346,0.0,0.26000000000000006,0.15999999999999998,0.42000000000000004,0.18999999999999995,8.0,16.5,41.0,6.600000000000001,0,1,3,4
589,Manor,Solomon,Solomon,u,has joined Villarreal CF on loan for the rest of the season.,,5.4,176,,0.0,707,,0.0,,,0,0,,-1,,0,12,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
590,Bryan,Gil Salvatierra,Bryan,u,has joined Girona permanently.,,4.9,328,,0.0,616,,0.0,,,0,0,,-1,,0,75,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
591,Archie,Gray,Gray,a,Calf injury - Unknown return date,,4.8,377,,0.1,450,,0.0,,,0,0,,-2,,279,361,0.0,0.8,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
592,Mikey,Moore,Moore,u,Has joined Rangers on loan for the rest of the season.,,5.0,279,,0.0,728,,0.0,,,0,0,,0,,0,8,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
593,Pape Matar,Sarr,P.M.Sarr,a,,,4.9,340,,1.9,135,,2.0,,,1,-1,,-1,,2145,17532,0.4,5.1,2.0,2.0,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6877,53717,0.0,0.0,0.0,0.0,0.1200000000000001,0.0,0.0,0.0,0.0,0,0,1,1
594,Yang,Min-hyeok,Min-hyeok,u,Has joined Portsmouth on loan for the rest of the season.,,4.5,486,,0.0,678,,0.0,,,0,0,,0,,0,25,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
595,Callum,Olusesi,Olusesi,a,,,4.4,547,,0.2,357,,0.0,,,0,0,,-1,,253,643,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,1829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
596,Dominic,Solanke-Mitchell,Solanke,d,Ankle injury - 25% chance of playing,,7.2,31,,1.0,176,,0.0,,,0,0,,-3,,87,2141,0.0,0.3,0.0,0.0,,,,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,8016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
597,Richarlison,de Andrade,Richarlison,a,,,6.6,51,,12.1,34,,1.3,,,1,-1,,1,,12606,196887,0.2,5.0,1.3,1.3,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,1,30,0,0,0,1,0,0,0,0,0,0,0,0,4,51705,531533,0.0,0.0,0.10999999999999999,0.1100000000000001,0.1900000000000004,4.199999999999989,10.599999999999994,4.0,1.8999999999999986,0,1,1,2
598,Will,Lankshear,Lankshear,u,Has joined Oxford United on loan for the rest of the season.,,4.5,456,,0.0,632,,0.0,,,0,0,,0,,0,59,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
599,Dane,Scarlett,Scarlett,a,,,4.4,541,,0.6,216,,0.0,,,0,0,,-1,,828,2450,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2355,6047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
673,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,J.Palhinha,a,,,5.5,139,,1.4,157,,6.3,,,9,0,,0,,26905,4451,1.1,7.1,6.3,6.3,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,9,90,0,1,0,2,0,0,0,0,0,0,1,2,35,38985,18731,0.0,0.06999999999999995,0.21999999999999997,0.29000000000000004,0.3200000000000003,43.80000000000001,11.799999999999997,14.0,7.0,10,3,3,16
717,Xavi,Simons,Xavi,a,,,6.9,43,,2.4,117,,1.7,,,2,-1,,-1,,4094,40182,0.2,1.7,1.7,1.7,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,2,78,0,0,0,2,0,0,0,0,0,0,1,0,10,17907,121154,0.0,0.0,0.029999999999999916,0.030000000000000027,0.18999999999999995,11.799999999999997,14.300000000000011,0.0,2.5999999999999996,4,3,3,10
