id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
116,Lewis,Dunk,Dunk,a,,,4.5,430,82,1.5,153,62,5.5,36,15,12,0,0,0,0,16782,5557,1.2,4.9,5.5,5.5,5.5,41,17,,,20,3,217,73,214,73,109,38,,3.0,,,,,,0.01,0.02,0.03,1.76,0.0,0.5,1.25,1.0,5.75,4,12,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,18559.0,6365.0,0.0,0.03,0.03,0.06,1.33,57.2,4.299999999999999,7.0,6.9,1.0,5.0,2.0,6.0
117,Diego,Coppola,Coppola,a,,,4.5,509,127,0.0,566,194,0.0,512,194,0,0,0,0,0,122,142,0.0,0.0,0.0,0.0,0.0,512,194,,,495,192,495,192,451,185,500,192,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Igor Julio,dos Santos de Paulo,Igor,u,Has joined Burnley permanently,,4.5,458,100,0.0,505,178,0.0,485,184,0,0,0,0,0,0,539,0.0,0.0,0.0,0.0,0.0,485,184,0.0,0.0,468,182,465,182,415,171,473,182,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,João Pedro,Loureiro da Costa,Costinha,a,,,4.5,482,118,0.0,521,183,0.8,285,106,1,0,0,0,0,106,177,0.2,0.7,0.8,0.8,0.8,388,135,,,273,111,206,66,164,50,260,99,,,,,,,,0.2,0.27,0.47,0.47,0.0,0.0,0.0,0.0,10.0,4,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,126.0,197.0,0.0,0.0,0.0,0.0,0.040000000000000036,1.1999999999999993,0.3000000000000007,0.0,0.20000000000000018,0.0,1.0,1.0,1.0
120,Michael,Svoboda,Svoboda,a,,,5.0,286,47,0.1,489,174,0.0,589,208,0,0,0,0,0,407,603,0.0,0.0,0.0,0.0,0.0,589,208,,,579,208,585,208,557,205,584,208,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Mitoma,Kaoru,Mitoma,i,Hamstring injury - Expected back 10 Oct,,5.9,90,59,0.0,538,218,0.0,644,283,0,0,0,-1,1,39,188,0.0,0.0,0.0,0.0,0.0,644,283,0.0,0.0,642,284,645,284,639,282,644,284,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Yankuba,Minteh,Minteh,i,Leg injury - Expected back 28 Nov,,5.9,98,63,0.0,527,213,0.0,648,286,0,0,0,-1,1,16,295,0.0,0.0,0.0,0.0,0.0,648,286,0.0,0.0,646,287,649,287,643,285,648,287,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Jack,Hinshelwood,Hinshelwood,i,Ankle injury - Expected back 10 Oct,,5.9,96,62,0.7,218,67,4.0,80,33,0,-1,1,-1,1,83,17544,0.7,2.7,0.0,0.0,16.0,1,1,0.0,0.0,88,27,228,123,60,40,108,57,,,,,,,,2.01,0.03,2.04,0.27,0.0,1.43,0.0,1.43,4.29,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,21327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Pascal,Groß,Groß,a,,,5.7,117,76,18.9,18,8,8.2,2,1,17,1,-1,2,-2,321441,47842,1.4,5.8,8.2,8.2,8.2,3,2,,,4,2,1,1,51,32,4,4,1.0,1.0,1.0,,,,,0.42,0.15,0.57,1.76,0.0,0.5,1.25,1.0,5.25,4,17,90.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,56.0,344275.0,72973.0,0.0,0.82,0.19,1.01,1.33,83.8,79.1,18.0,18.099999999999998,2.0,2.0,2.0,6.0
125,Georginio,Rutter,Georginio,a,,,5.4,209,46,0.5,252,43,1.2,249,25,0,0,0,-1,1,733,7377,0.2,0.9,1.2,0.9,5.0,49,5,100.0,75.0,259,23,240,29,191,32,268,31,,,,,,,,0.08,0.44,0.52,0.29,0.0,1.0,0.0,1.0,7.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,8663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Matt,O'Riley,O'Riley,a,,,5.4,191,121,0.1,424,161,0.2,394,183,1,-1,1,-1,1,360,769,0.0,0.2,0.2,0.2,1.0,354,163,,,365,168,244,129,606,261,343,158,,,3.0,,,,,0.0,0.15,0.15,0.6,0.0,0.0,0.0,0.0,15.0,4,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,404.0,845.0,0.0,0.0,0.01,0.01,0.04,2.2,10.5,0.0,1.3,0.0,0.0,1.0,1.0
127,Diego,Gómez Amarilla,Gomez,a,,,5.0,314,187,4.6,76,26,4.0,77,31,3,0,0,0,0,7668,38793,0.8,3.2,4.0,4.0,4.0,88,34,,,138,47,41,35,13,7,26,19,,5.0,,,,,,0.2,0.2,0.4,1.81,0.0,0.52,1.29,1.03,5.95,4,3,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,18509.0,48493.0,0.0,0.14,0.06000000000000005,0.19999999999999996,1.2999999999999998,2.4000000000000057,9.0,9.0,2.0,0.0,1.0,2.0,3.0
128,Facundo,Buonanotte,Buonanotte,u,Has joined Elche on loan for the rest of the season,,5.0,323,194,0.0,648,286,0.0,608,258,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,608,258,0.0,0.0,598,254,605,259,580,244,603,256,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Yasin,Ayari,Ayari,a,,,5.4,218,139,0.4,275,92,3.0,121,53,8,0,0,-1,1,2039,2257,0.6,2.2,3.0,3.0,4.0,90,36,100.0,100.0,157,58,138,87,73,43,124,63,4.0,2.0,,,,,,0.22,0.04,0.26,1.49,0.0,0.74,0.37,1.11,5.19,4,8,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,2199.0,2716.0,0.0,0.30999999999999994,0.03,0.33999999999999997,1.3299999999999996,39.0,6.800000000000001,27.0,7.300000000000001,1.0,0.0,6.0,7.0
130,Mats,Wieffer,Wieffer,i,Knee injury - Unknown return date,,4.9,388,71,0.2,322,117,1.8,208,80,0,-1,1,-1,1,38,4417,0.4,1.4,0.0,0.0,3.5,112,47,0.0,0.0,195,82,141,42,222,77,201,74,,,,,,,,0.07,0.08,0.15,1.83,0.0,0.58,2.31,1.15,8.65,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Harry,Howell,Howell,u,Has joined Leicester City on loan for the rest of the season,,4.5,530,277,0.0,530,215,0.0,528,208,0,0,0,0,0,0,260,0.0,0.0,0.0,0.0,0.0,528,208,0.0,0.0,512,200,511,207,468,179,517,202,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Tom,Watson,Watson,u,Has joined Leicester City on loan for the rest of the season,,5.0,325,196,0.0,656,293,0.0,610,260,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,610,260,0.0,0.0,600,256,607,261,582,246,605,258,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Zadok,Yohanna,Yohanna,i,Unspecified injury - Expected back 10 Oct,,4.9,418,255,0.0,506,202,0.2,385,175,0,0,0,-1,1,17,733,0.0,0.2,0.0,0.0,1.0,330,145,0.0,0.0,386,180,329,164,534,221,383,179,,,,,,,,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Charalampos,Kostoulas,Kostoulas,a,,,5.5,176,41,0.7,215,36,4.5,61,6,10,0,0,0,0,24557,6582,0.8,3.3,4.5,4.5,4.5,70,7,,,163,13,165,17,26,10,84,13,,,,,,,,0.38,0.02,0.4,2.19,0.0,0.32,1.62,0.97,7.45,4,10,83.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,25939.0,7403.0,0.0,0.3899999999999999,0.010000000000000002,0.4,1.2999999999999998,33.0,7.0,38.0,7.800000000000001,1.0,2.0,4.0,7.0
