player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
39,25-26-europa-league-lille-vs-aston-villa,90,0,0,0,0.0,0.01,0,0,0,0,53,27,82.0,0.0,1,0,0.0,0,0.0,0,0,5,0,2,2,2,2,9,2,22.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,3.0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,25-26-europa-league-lille-vs-aston-villa,90,0,0,1,0.09,0.01,1,0,0,1,56,46,100.0,0.0,2,0,0.0,0,0.0,2,3,6,0,0,0,1,6,3,4,67.0,2,67.0,2,0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0.0,0.0,0.36,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,61,0,0,0,0.0,0.39,0,0,0,2,35,11,92.0,1.0,2,1,25.0,0,0.0,2,1,3,0,0,0,0,3,7,3,33.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,2.0,0,0,0,0.0,0.0,0.0,0,0,61,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,61,0,0,1,0.12,0.24,1,0,0,3,31,17,74.0,3.0,4,1,50.0,1,50.0,0,0,1,0,0,0,0,3,3,2,100.0,1,25.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.14,0,0,61,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,120,1,0,5,0.63,0.03,1,0,0,7,66,37,82.0,1.0,9,0,0.0,1,25.0,1,0,8,1,0,0,2,5,10,4,33.0,1,33.0,3,1,0,0,0.0,0.0,0,0,0,3.0,0,0,0,0.0,0.0,0.07,0,0,121,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
808,25-26-europa-league-lille-vs-aston-villa,56,0,0,0,0.0,0.01,0,0,0,0,18,7,50.0,1.0,1,0,0.0,1,100.0,2,0,2,0,0,0,0,5,2,2,67.0,3,75.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,56,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,25-26-europa-league-lille-vs-aston-villa,90,0,0,0,0.0,0.02,0,0,0,0,91,73,86.0,0.0,6,0,0.0,7,50.0,1,1,4,0,0,0,0,1,2,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,25-26-europa-league-lille-vs-aston-villa,84,0,1,2,0.33,0.24,0,0,0,6,48,22,85.0,2.0,1,0,0.0,0,0.0,1,1,6,0,2,1,0,4,4,3,50.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,25-26-europa-league-lille-vs-aston-villa,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,59,0,0,0,0.0,0.0,0,0,0,1,28,16,80.0,1.0,4,0,0.0,0,0.0,1,0,2,1,4,2,1,2,6,2,50.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,61,121,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,59,0,0,3,0.31,0.02,1,0,0,2,30,18,100.0,2.0,2,0,0.0,0,0.0,1,1,4,0,2,1,1,1,3,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.4,0,61,121,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,30,0,0,0,0.0,0.01,0,0,0,0,24,15,83.0,0.0,0,0,0.0,0,0.0,1,0,4,0,1,0,1,2,5,2,29.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,2.0,0,0,0,0.0,0.0,0.0,0,91,121,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,90,1,0,3,0.23,0.15,2,0,0,3,67,32,67.0,1.0,13,0,0.0,3,50.0,3,2,9,1,2,2,3,9,6,4,44.0,5,83.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,1.31,0,0,91,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,120,0,0,0,0.0,0.48,0,0,0,2,80,40,73.0,1.0,13,0,0.0,0,0.0,1,2,4,0,13,9,0,5,4,1,33.0,4,67.0,0,1,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0,0,121,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,75,0,1,3,0.07,0.39,1,0,0,1,41,23,88.0,2.0,1,0,0.0,1,50.0,2,1,9,0,0,0,2,5,3,5,62.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0.0,0.0,0.04,0,0,75,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,120,0,0,0,0.0,0.01,0,0,0,0,47,25,76.0,0.0,2,0,0.0,5,62.0,1,1,3,0,5,2,0,6,0,5,100.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,121,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,25-26-europa-league-lille-vs-aston-villa,84,0,0,0,0.0,0.06,0,0,0,2,51,28,72.0,2.0,9,0,0.0,1,33.0,0,1,4,0,1,1,0,3,3,2,67.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,25-26-europa-league-lille-vs-aston-villa,90,0,0,1,0.07,0.17,0,0,0,2,83,48,84.0,1.0,3,0,0.0,3,75.0,7,2,9,0,2,1,1,10,5,10,71.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,25-26-europa-league-lille-vs-aston-villa,6,0,0,0,0.0,0.01,0,0,0,1,8,6,86.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,84,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,25-26-europa-league-lille-vs-aston-villa,74,0,0,0,0.0,0.02,0,0,0,0,62,45,92.0,0.0,3,0,0.0,0,0.0,0,1,3,1,4,4,0,2,2,1,50.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,74,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734,25-26-europa-league-nottingham-forest-vs-fc-midtjylland,75,0,0,2,0.08,0.54,0,0,0,1,46,18,86.0,0.0,3,3,33.0,0,0.0,2,0,7,0,2,0,3,5,7,5,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,75,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
