match_id,minute,value
25-26-europa-league-ferencvaros-vs-nottingham-forest,88,-5
25-26-europa-league-ferencvaros-vs-nottingham-forest,89,-52
25-26-europa-league-ferencvaros-vs-nottingham-forest,90,-51
25-26-europa-league-ferencvaros-vs-nottingham-forest,90.5,-27
25-26-europa-league-salzburg-vs-aston-villa,1,1
25-26-europa-league-salzburg-vs-aston-villa,2,-82
25-26-europa-league-salzburg-vs-aston-villa,3,-100
25-26-europa-league-salzburg-vs-aston-villa,4,-82
25-26-europa-league-salzburg-vs-aston-villa,5,-51
25-26-europa-league-salzburg-vs-aston-villa,6,-22
25-26-europa-league-salzburg-vs-aston-villa,7,-18
25-26-europa-league-salzburg-vs-aston-villa,8,-4
25-26-europa-league-salzburg-vs-aston-villa,9,8
25-26-europa-league-salzburg-vs-aston-villa,10,8
25-26-europa-league-salzburg-vs-aston-villa,11,8
25-26-europa-league-salzburg-vs-aston-villa,12,17
25-26-europa-league-salzburg-vs-aston-villa,13,9
25-26-europa-league-salzburg-vs-aston-villa,14,11
25-26-europa-league-salzburg-vs-aston-villa,15,5
25-26-europa-league-salzburg-vs-aston-villa,16,2
25-26-europa-league-salzburg-vs-aston-villa,17,2
25-26-europa-league-salzburg-vs-aston-villa,18,-6
25-26-europa-league-salzburg-vs-aston-villa,19,-12
25-26-europa-league-salzburg-vs-aston-villa,20,14
25-26-europa-league-salzburg-vs-aston-villa,21,2
25-26-europa-league-salzburg-vs-aston-villa,22,62
25-26-europa-league-salzburg-vs-aston-villa,23,44
25-26-europa-league-salzburg-vs-aston-villa,24,19
25-26-europa-league-salzburg-vs-aston-villa,25,3
25-26-europa-league-salzburg-vs-aston-villa,26,-36
25-26-europa-league-salzburg-vs-aston-villa,27,-43
25-26-europa-league-salzburg-vs-aston-villa,28,-29
25-26-europa-league-salzburg-vs-aston-villa,29,-19
25-26-europa-league-salzburg-vs-aston-villa,30,-19
25-26-europa-league-salzburg-vs-aston-villa,31,16
25-26-europa-league-salzburg-vs-aston-villa,32,17
25-26-europa-league-salzburg-vs-aston-villa,33,24
25-26-europa-league-salzburg-vs-aston-villa,34,26
25-26-europa-league-salzburg-vs-aston-villa,35,16
25-26-europa-league-salzburg-vs-aston-villa,36,5
25-26-europa-league-salzburg-vs-aston-villa,37,63
25-26-europa-league-salzburg-vs-aston-villa,38,26
25-26-europa-league-salzburg-vs-aston-villa,39,10
25-26-europa-league-salzburg-vs-aston-villa,40,-10
25-26-europa-league-salzburg-vs-aston-villa,41,21
25-26-europa-league-salzburg-vs-aston-villa,42,12
25-26-europa-league-salzburg-vs-aston-villa,43,2
25-26-europa-league-salzburg-vs-aston-villa,44,-14
25-26-europa-league-salzburg-vs-aston-villa,45,-4
25-26-europa-league-salzburg-vs-aston-villa,45.5,3
25-26-europa-league-salzburg-vs-aston-villa,46,-7
25-26-europa-league-salzburg-vs-aston-villa,47,11
25-26-europa-league-salzburg-vs-aston-villa,48,6
25-26-europa-league-salzburg-vs-aston-villa,49,36
25-26-europa-league-salzburg-vs-aston-villa,50,14
25-26-europa-league-salzburg-vs-aston-villa,51,10
25-26-europa-league-salzburg-vs-aston-villa,52,19
25-26-europa-league-salzburg-vs-aston-villa,53,5
25-26-europa-league-salzburg-vs-aston-villa,54,4
25-26-europa-league-salzburg-vs-aston-villa,55,-37
25-26-europa-league-salzburg-vs-aston-villa,56,-58
25-26-europa-league-salzburg-vs-aston-villa,57,-45
25-26-europa-league-salzburg-vs-aston-villa,58,-53
