match_id,minute,value
25-26-champions-league-arsenal-vs-athletic-club,1,7
25-26-champions-league-arsenal-vs-athletic-club,2,12
25-26-champions-league-arsenal-vs-athletic-club,3,14
25-26-champions-league-arsenal-vs-athletic-club,4,16
25-26-champions-league-arsenal-vs-athletic-club,5,14
25-26-champions-league-arsenal-vs-athletic-club,6,17
25-26-champions-league-arsenal-vs-athletic-club,7,14
25-26-champions-league-arsenal-vs-athletic-club,8,-16
25-26-champions-league-arsenal-vs-athletic-club,9,-24
25-26-champions-league-arsenal-vs-athletic-club,10,-11
25-26-champions-league-arsenal-vs-athletic-club,11,-5
25-26-champions-league-arsenal-vs-athletic-club,12,-7
25-26-champions-league-arsenal-vs-athletic-club,13,-15
25-26-champions-league-arsenal-vs-athletic-club,14,-21
25-26-champions-league-arsenal-vs-athletic-club,15,-66
25-26-champions-league-arsenal-vs-athletic-club,16,-36
25-26-champions-league-arsenal-vs-athletic-club,17,-16
25-26-champions-league-arsenal-vs-athletic-club,18,-3
25-26-champions-league-arsenal-vs-athletic-club,19,5
25-26-champions-league-arsenal-vs-athletic-club,20,10
25-26-champions-league-arsenal-vs-athletic-club,21,18
25-26-champions-league-arsenal-vs-athletic-club,22,8
25-26-champions-league-arsenal-vs-athletic-club,23,-7
25-26-champions-league-arsenal-vs-athletic-club,24,33
25-26-champions-league-arsenal-vs-athletic-club,25,25
25-26-champions-league-arsenal-vs-athletic-club,26,18
25-26-champions-league-arsenal-vs-athletic-club,27,45
25-26-champions-league-arsenal-vs-athletic-club,28,56
25-26-champions-league-arsenal-vs-athletic-club,29,54
25-26-champions-league-arsenal-vs-athletic-club,30,37
25-26-champions-league-arsenal-vs-athletic-club,31,41
25-26-champions-league-arsenal-vs-athletic-club,32,22
25-26-champions-league-arsenal-vs-athletic-club,33,11
25-26-champions-league-arsenal-vs-athletic-club,34,6
25-26-champions-league-arsenal-vs-athletic-club,35,8
25-26-champions-league-arsenal-vs-athletic-club,36,17
25-26-champions-league-arsenal-vs-athletic-club,37,15
25-26-champions-league-arsenal-vs-athletic-club,38,6
25-26-champions-league-arsenal-vs-athletic-club,39,6
25-26-champions-league-arsenal-vs-athletic-club,40,19
25-26-champions-league-arsenal-vs-athletic-club,41,12
25-26-champions-league-arsenal-vs-athletic-club,42,33
25-26-champions-league-arsenal-vs-athletic-club,43,21
25-26-champions-league-arsenal-vs-athletic-club,44,11
25-26-champions-league-arsenal-vs-athletic-club,45,-34
25-26-champions-league-arsenal-vs-athletic-club,45.5,-67
25-26-champions-league-arsenal-vs-athletic-club,46,-7
25-26-champions-league-arsenal-vs-athletic-club,47,-5
25-26-champions-league-arsenal-vs-athletic-club,48,40
25-26-champions-league-arsenal-vs-athletic-club,49,20
25-26-champions-league-arsenal-vs-athletic-club,50,20
25-26-champions-league-arsenal-vs-athletic-club,51,10
25-26-champions-league-arsenal-vs-athletic-club,52,-8
25-26-champions-league-arsenal-vs-athletic-club,53,12
25-26-champions-league-arsenal-vs-athletic-club,54,3
25-26-champions-league-arsenal-vs-athletic-club,55,10
25-26-champions-league-arsenal-vs-athletic-club,56,79
25-26-champions-league-arsenal-vs-athletic-club,57,55
25-26-champions-league-arsenal-vs-athletic-club,58,6
25-26-champions-league-arsenal-vs-athletic-club,59,14
25-26-champions-league-arsenal-vs-athletic-club,60,22
25-26-champions-league-arsenal-vs-athletic-club,61,13
25-26-champions-league-arsenal-vs-athletic-club,62,-11
25-26-champions-league-arsenal-vs-athletic-club,63,12
25-26-champions-league-arsenal-vs-athletic-club,64,10
25-26-champions-league-arsenal-vs-athletic-club,65,4
25-26-champions-league-arsenal-vs-athletic-club,66,56
25-26-champions-league-arsenal-vs-athletic-club,67,34
25-26-champions-league-arsenal-vs-athletic-club,68,23
25-26-champions-league-arsenal-vs-athletic-club,69,10
25-26-champions-league-arsenal-vs-athletic-club,70,3
25-26-champions-league-arsenal-vs-athletic-club,71,16
25-26-champions-league-arsenal-vs-athletic-club,72,21
25-26-champions-league-arsenal-vs-athletic-club,73,12
25-26-champions-league-arsenal-vs-athletic-club,74,7
25-26-champions-league-arsenal-vs-athletic-club,75,23
25-26-champions-league-arsenal-vs-athletic-club,76,5
25-26-champions-league-arsenal-vs-athletic-club,77,3
25-26-champions-league-arsenal-vs-athletic-club,78,-26
25-26-champions-league-arsenal-vs-athletic-club,79,-14
25-26-champions-league-arsenal-vs-athletic-club,80,-10
25-26-champions-league-arsenal-vs-athletic-club,81,-8
25-26-champions-league-arsenal-vs-athletic-club,82,-4
25-26-champions-league-arsenal-vs-athletic-club,83,2
25-26-champions-league-arsenal-vs-athletic-club,84,2
25-26-champions-league-arsenal-vs-athletic-club,85,27
25-26-champions-league-arsenal-vs-athletic-club,86,26
25-26-champions-league-arsenal-vs-athletic-club,87,74
25-26-champions-league-arsenal-vs-athletic-club,88,45
25-26-champions-league-arsenal-vs-athletic-club,89,24
25-26-champions-league-arsenal-vs-athletic-club,90,-14
25-26-champions-league-arsenal-vs-athletic-club,90.5,1
25-26-champions-league-atletico-madrid-vs-liverpool,1,-8
25-26-champions-league-atletico-madrid-vs-liverpool,2,-10
25-26-champions-league-atletico-madrid-vs-liverpool,3,-28
25-26-champions-league-atletico-madrid-vs-liverpool,4,-23
25-26-champions-league-atletico-madrid-vs-liverpool,5,-20
25-26-champions-league-atletico-madrid-vs-liverpool,6,-46
25-26-champions-league-atletico-madrid-vs-liverpool,7,-25
25-26-champions-league-atletico-madrid-vs-liverpool,8,-10
25-26-champions-league-atletico-madrid-vs-liverpool,9,7
25-26-champions-league-atletico-madrid-vs-liverpool,10,-59
25-26-champions-league-atletico-madrid-vs-liverpool,11,-45
25-26-champions-league-atletico-madrid-vs-liverpool,12,-21
25-26-champions-league-atletico-madrid-vs-liverpool,13,-9
25-26-champions-league-atletico-madrid-vs-liverpool,14,-1
25-26-champions-league-atletico-madrid-vs-liverpool,15,7
25-26-champions-league-atletico-madrid-vs-liverpool,16,33
25-26-champions-league-atletico-madrid-vs-liverpool,17,56
25-26-champions-league-atletico-madrid-vs-liverpool,18,57
25-26-champions-league-atletico-madrid-vs-liverpool,19,23
25-26-champions-league-atletico-madrid-vs-liverpool,20,8
25-26-champions-league-atletico-madrid-vs-liverpool,21,-41
25-26-champions-league-atletico-madrid-vs-liverpool,22,-19
25-26-champions-league-atletico-madrid-vs-liverpool,23,18
25-26-champions-league-atletico-madrid-vs-liverpool,24,17
25-26-champions-league-atletico-madrid-vs-liverpool,25,62
25-26-champions-league-atletico-madrid-vs-liverpool,26,100
25-26-champions-league-atletico-madrid-vs-liverpool,27,64
25-26-champions-league-atletico-madrid-vs-liverpool,28,41
25-26-champions-league-atletico-madrid-vs-liverpool,29,27
25-26-champions-league-atletico-madrid-vs-liverpool,30,16
25-26-champions-league-atletico-madrid-vs-liverpool,31,-29
25-26-champions-league-atletico-madrid-vs-liverpool,32,-13
25-26-champions-league-atletico-madrid-vs-liverpool,33,-2
25-26-champions-league-atletico-madrid-vs-liverpool,34,-7
25-26-champions-league-atletico-madrid-vs-liverpool,35,-18
25-26-champions-league-atletico-madrid-vs-liverpool,36,-22
25-26-champions-league-atletico-madrid-vs-liverpool,37,-26
25-26-champions-league-atletico-madrid-vs-liverpool,38,-23
25-26-champions-league-atletico-madrid-vs-liverpool,39,-22
25-26-champions-league-atletico-madrid-vs-liverpool,40,-74
