id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
25,u,0.0,0.0,5.0,270,163.0,0,0.0,-5,5.0,0.1,435,147.0,8,0,1.3,416.0,186.0,0,20,0.0,742.0,320.0,0.0,1.6,0.0,13149,0,35934,548,0.0,0.0,0.23,0.08,0.31,0.73,0.13,0.04,0.17,0.4,8.6,444.0,200.0,22.5,370.0,190.0,24.0,347.0,180.0,5.4,425.0,191.0,,,,23,,Ethan,Nwaneri,Nwaneri,has joined Marseille on loan for the rest of the season.,,165,0,0,1,0,0,0,0,0,0,0,0,13,,,,0.0,0.55,0.0,0.0,7.09,2,1,10
294,a,100.0,100.0,4.2,620,142.0,0,0.0,-3,3.0,0.1,485,175.0,3,0,1.0,440.0,164.0,0,10,0.0,535.0,227.0,0.0,0.7,0.0,5311,208,17045,86,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,1.96,0.0,610.0,244.0,0.1,466.0,171.0,0.0,570.0,240.0,0.0,611.0,244.0,,,,23,,Séamus,Coleman,Coleman,,,11,0,0,0,0,0,0,0,0,0,0,1,0,,,,0.0,0.0,0.0,8.18,0.0,0,0,1
288,a,,,4.3,577,28.0,0,0.0,-2,2.0,0.1,454,70.0,0,0,0.0,627.0,87.0,0,0,0.0,555.0,83.0,0.0,0.0,0.0,4086,142,11326,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,87.0,0.0,614.0,79.0,0.0,585.0,66.0,0.0,619.0,87.0,,,,23,,Mark,Travers,Travers,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
326,a,,,5.1,226,139.0,0,0.0,-4,4.0,0.1,416,140.0,17,0,1.1,429.0,193.0,0,58,0.6,312.0,138.0,0.1,3.3,0.0,12426,1004,33662,416,0.6,0.6,0.19,0.55,0.74,4.89,0.07,0.19,0.26,1.69,20.2,429.0,191.0,61.8,286.0,165.0,57.0,285.0,150.0,13.5,375.0,175.0,,,,23,,Adama,Traoré Diarra,Adama,,,261,0,0,0,7,0,0,0,0,0,0,1,14,,,,0.0,0.0,2.41,0.34,4.83,1,1,12
802,a,,,5.0,279,171.0,0,0.0,0,0.0,0.0,791,348.0,0,0,0.0,776.0,340.0,0,0,0.0,746.0,323.0,0.0,0.0,0.0,136,110,23,19,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,340.0,0.0,774.0,340.0,0.0,767.0,337.0,0.0,775.0,339.0,,,,23,,Keiber,Lamadrid,Lamadrid,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
327,u,0.0,0.0,5.3,188,115.0,0,0.0,-2,2.0,0.1,549,199.0,0,0,0.0,782.0,344.0,0,0,0.0,762.0,336.0,0.0,0.0,0.0,2438,0,35503,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0,344.0,0.0,781.0,344.0,0.0,776.0,343.0,0.0,782.0,344.0,,,,23,,Andreas,Hoelgebaum Pereira,Andreas,has joined Palmeiras permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
328,a,100.0,100.0,5.4,164,102.0,0,0.0,-1,1.0,0.2,408,138.0,61,1,3.8,90.0,40.0,5,213,1.0,290.0,129.0,0.2,11.3,0.0,141683,403,135603,1891,1.0,1.0,0.92,1.29,2.21,17.36,0.07,0.1,0.17,1.28,266.8,172.0,68.0,123.2,191.0,127.0,137.0,159.0,92.0,52.4,187.0,98.0,,,,23,,Ryan,Sessegnon,Sessegnon,,,1218,2,2,4,21,0,0,0,0,0,0,14,140,,,,0.0,0.3,1.55,1.03,10.34,27,67,46
740,a,,,3.9,767,225.0,0,0.0,-1,1.0,0.0,609,218.0,0,0,0.0,549.0,201.0,0,0,0.0,462.0,181.0,0.0,0.0,0.0,3122,61,3356,117,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,201.0,0.0,531.0,201.0,0.0,494.0,193.0,0.0,540.0,200.0,,,,23,,Stephen,Mfuni,Mfuni,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
746,a,,,4.5,485,297.0,0,0.0,0,0.0,0.0,736,314.0,0,0,0.0,722.0,300.0,0,0,0.0,668.0,266.0,0.0,0.0,0.0,865,31,642,38,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,299.0,0.0,716.0,299.0,0.0,698.0,293.0,0.0,720.0,298.0,,,,23,,Kieran,Morrison,Morrison,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
771,a,,,4.4,542,325.0,-1,1.0,-1,1.0,0.0,757,327.0,0,0,0.0,660.0,256.0,0,0,0.0,596.0,214.0,0.0,0.0,0.0,1003,81,578,105,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,248.0,0.0,649.0,253.0,0.0,623.0,241.0,0.0,653.0,249.0,,,,23,,Tyler,Fletcher,Fletcher,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
512,u,0.0,0.0,4.5,416,79.0,0,0.0,0,0.0,0.0,672,233.0,0,0,0.0,679.0,252.0,0,0,0.0,617.0,245.0,0.0,0.0,0.0,345,0,4097,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,252.0,0.0,670.0,252.0,0.0,646.0,250.0,0.0,675.0,252.0,,,,23,,Omar,Richards,O.Richards,has joined Rio Ave on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
536,a,100.0,100.0,4.0,680,172.0,0,0.0,0,0.0,0.0,685,237.0,0,0,0.0,579.0,214.0,0,0,0.0,492.0,194.0,0.0,0.0,0.0,1201,121,1045,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,214.0,0.0,563.0,214.0,0.0,528.0,208.0,0.0,570.0,213.0,,,,23,,Leo Fuhr,Hjelde,Hjelde,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
149,a,100.0,100.0,4.5,419,81.0,0,0.0,0,0.0,0.1,518,186.0,6,0,1.5,390.0,145.0,0,10,0.0,619.0,246.0,0.0,1.3,0.0,8139,249,9335,254,0.0,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,4.07,25.8,418.0,158.0,10.6,399.0,147.0,0.0,648.0,251.0,3.6,439.0,160.0,,,,23,,Igor Julio,dos Santos de Paulo,Igor,,,103,0,0,0,3,0,0,0,0,0,0,1,13,,,,0.0,0.0,2.62,0.87,11.36,0,13,3
