gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed,home_distance_covered,away_distance_covered,home_walking_distance,away_walking_distance,home_running_distance,away_running_distance,home_sprinting_distance,away_sprinting_distance,home_number_of_sprints,away_number_of_sprints,home_top_speed,away_top_speed,tournament
0,2025-07-25T18:30:00,31.0,1835.04,3.0,0.0,,,True,25-26-friendly-crystal-palace-vs-crawley-town,/matches/crawley-town-vs-crystal-palace/2tligv#4809761,49.0,51.0,0.1,2.5,4.0,19.0,2.0,8.0,0.0,3.0,0.0,1.0,397.0,410.0,83.0,84.0,9.0,12.0,1.0,7.0,0.09,2.17,0.01,0.33,0.1,2.5,0.33,2.68,2.0,8.0,0.0,3.0,0.0,0.0,1.0,12.0,3.0,7.0,481.0,491.0,321.0,206.0,76.0,204.0,20.0,31.0,36.0,48.0,1.0,3.0,14.0,17.0,15.0,17.0,4.0,33.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,9.0,58.0,75.0,11.0,18.0,3.0,0.0,19.0,12.0,5.0,2.0,34.0,37.0,27.0,29.0,47.0,52.0,7.0,8.0,47.0,53.0,5.0,8.0,38.0,67.0,,True,True,,,,,,,,,,,,,friendly
0,,56.0,1547.1,1.0,2.0,,,True,25-26-friendly-sunderland-vs-hull-city,/matches/sunderland-vs-hull-city/2fgcyx#4809778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,friendly
0,,7.0,1872.84,3.0,1.0,,,True,25-26-friendly-aston-villa-vs-al-ain,/matches/aston-villa-vs-al-ain/2weveut#4757991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,friendly
0,,,,1.0,1.0,31.0,1835.04,True,25-26-friendly-mainz-05-vs-crystal-palace,/matches/crystal-palace-vs-mainz-05/37wkxb#4838735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,friendly
0,2025-08-04T19:00:00,,,1.0,4.0,14.0,1993.42,True,25-26-friendly-athletic-club-vs-liverpool,/matches/athletic-club-vs-liverpool/2dori1#4805689,68.0,32.0,,,9.0,13.0,5.0,2.0,3.0,2.0,1.0,1.0,593.0,242.0,90.0,82.0,7.0,9.0,4.0,4.0,,,,,,,,,1.0,7.0,3.0,4.0,0.0,1.0,5.0,8.0,4.0,5.0,656.0,295.0,414.0,108.0,179.0,134.0,20.0,21.0,50.0,46.0,1.0,2.0,13.0,13.0,16.0,13.0,19.0,21.0,3.0,3.0,0.0,1.0,0.0,0.0,8.0,12.0,80.0,57.0,7.0,7.0,4.0,3.0,17.0,26.0,1.0,2.0,29.0,37.0,26.0,32.0,45.0,55.0,3.0,5.0,38.0,63.0,7.0,4.0,41.0,44.0,,True,True,,,,,,,,,,,,,friendly
0,2025-07-19T14:00:00,4.0,1868.55,0.0,4.0,,,True,25-26-friendly-newcastle-united-vs-celtic,/matches/celtic-vs-newcastle-united/3db85g#4794702,46.0,54.0,2.93,1.12,14.0,17.0,5.0,7.0,4.0,2.0,1.0,2.0,437.0,501.0,89.0,88.0,14.0,10.0,3.0,7.0,1.96,0.95,0.18,0.17,2.14,1.12,3.02,1.02,8.0,4.0,1.0,6.0,0.0,0.0,11.0,13.0,3.0,4.0,491.0,568.0,285.0,299.0,152.0,202.0,21.0,33.0,49.0,72.0,7.0,13.0,58.0,59.0,14.0,25.0,23.0,37.0,4.0,1.0,1.0,1.0,0.0,0.0,12.0,6.0,86.0,67.0,10.0,4.0,6.0,1.0,20.0,11.0,7.0,2.0,32.0,38.0,26.0,30.0,46.0,54.0,6.0,8.0,43.0,57.0,3.0,7.0,43.0,47.0,,True,True,,,,,,,,,,,,,friendly
0,2025-08-09T15:00:00,,,2.0,0.0,4.0,1868.55,True,25-26-friendly-atletico-madrid-vs-newcastle-united,/matches/atletico-madrid-vs-newcastle-united/3d30by#4809771,54.0,46.0,,,7.0,10.0,2.0,5.0,4.0,2.0,4.0,1.0,414.0,344.0,88.0,85.0,11.0,20.0,3.0,7.0,,,,,,,,,3.0,4.0,2.0,1.0,0.0,0.0,4.0,6.0,3.0,4.0,470.0,407.0,221.0,179.0,193.0,165.0,12.0,28.0,43.0,47.0,5.0,2.0,29.0,17.0,21.0,18.0,15.0,13.0,1.0,4.0,0.0,2.0,0.0,0.0,8.0,13.0,62.0,62.0,6.0,7.0,1.0,2.0,12.0,13.0,3.0,2.0,56.0,42.0,46.0,38.0,55.0,45.0,10.0,4.0,71.0,29.0,13.0,6.0,62.0,60.0,,True,True,,,,,,,,,,,,,friendly
0,,,,0.0,2.0,36.0,1827.13,True,25-26-friendly-las-palmas-vs-brighton-hove-albion,/matches/las-palmas-vs-brighton-hove-albion/2u058b#4868918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,friendly
0,2025-08-09T14:00:00,,,1.0,0.0,11.0,1793.98,True,25-26-friendly-roma-vs-everton,/matches/everton-vs-roma/2hnu6d#4811180,47.0,53.0,,,10.0,23.0,4.0,6.0,3.0,0.0,3.0,0.0,369.0,413.0,86.0,86.0,9.0,7.0,5.0,10.0,,,,,,,,,6.0,9.0,0.0,8.0,0.0,1.0,7.0,15.0,3.0,8.0,431.0,481.0,185.0,206.0,184.0,207.0,25.0,29.0,47.0,58.0,4.0,7.0,22.0,44.0,17.0,11.0,21.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,50.0,67.0,11.0,7.0,8.0,0.0,24.0,22.0,5.0,4.0,36.0,42.0,30.0,32.0,48.0,52.0,6.0,10.0,38.0,63.0,7.0,8.0,47.0,50.0,,True,True,,,,,,,,,,,,,friendly
0,2025-07-26T23:00:00,7.0,1872.84,2.0,2.0,,,True,25-26-friendly-aston-villa-vs-eintracht-frankfurt,/matches/eintracht-frankfurt-vs-aston-villa/3btqkj#4811177,57.0,43.0,0.92,0.87,15.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,393.0,297.0,87.0,87.0,25.0,6.0,6.0,2.0,0.72,0.87,0.2,0.0,0.92,0.87,0.4,1.44,6.0,4.0,6.0,0.0,0.0,0.0,6.0,5.0,9.0,1.0,451.0,343.0,221.0,206.0,172.0,91.0,20.0,19.0,56.0,68.0,4.0,2.0,29.0,67.0,14.0,14.0,29.0,22.0,1.0,4.0,4.0,1.0,0.0,0.0,14.0,7.0,88.0,64.0,8.0,9.0,0.0,6.0,9.0,22.0,0.0,1.0,28.0,52.0,24.0,42.0,36.0,64.0,4.0,10.0,29.0,71.0,2.0,6.0,29.0,60.0,,True,True,,,,,,,,,,,,,friendly
0,2025-08-01T16:00:00,,,1.0,3.0,31.0,1835.04,True,25-26-friendly-augsburg-vs-crystal-palace,/matches/augsburg-vs-crystal-palace/2qyplq#4838736,50.0,48.0,0.8,1.18,11.0,9.0,6.0,2.0,5.0,3.0,2.0,2.0,376.0,257.0,108.0,62.0,13.0,12.0,4.0,3.0,0.69,0.37,0.64,0.19,1.41,1.04,2.13,1.04,1.0,4.0,4.0,3.0,0.0,0.0,9.0,4.0,5.0,1.0,348.0,412.0,204.0,151.0,95.0,132.0,18.0,11.0,36.0,26.0,2.0,3.0,20.0,25.0,17.0,26.0,21.0,15.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,6.0,20.0,33.0,10.0,7.0,3.0,4.0,33.0,13.0,2.0,5.0,43.0,47.0,34.0,37.0,48.0,52.0,9.0,10.0,47.0,53.0,7.0,6.0,50.0,55.0,,True,True,,,,,,,,,,,,,friendly
0,,,,3.0,2.0,31.0,1835.04,True,25-26-friendly-mainz-05-vs-crystal-palace-1,/matches/crystal-palace-vs-mainz-05/37wkxb#4902549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,friendly
0,2025-03-13T15:00:00,31.0,1835.04,1.0,0.0,,,True,25-26-friendly-crystal-palace-vs-hamarkameratene,/matches/hamarkameratene-vs-crystal-palace/2rf55h#4740298,34.0,66.0,0.64,0.71,9.0,14.0,2.0,4.0,0.0,1.0,0.0,1.0,241.0,534.0,75.0,87.0,6.0,12.0,3.0,11.0,0.24,0.51,0.4,0.2,0.64,0.71,0.56,0.5,4.0,6.0,3.0,4.0,0.0,0.0,3.0,10.0,6.0,4.0,320.0,616.0,135.0,181.0,106.0,353.0,21.0,14.0,40.0,42.0,3.0,6.0,23.0,30.0,17.0,16.0,12.0,26.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,12.0,64.0,63.0,15.0,12.0,4.0,3.0,25.0,28.0,4.0,2.0,38.0,48.0,32.0,31.0,51.0,49.0,6.0,17.0,26.0,74.0,6.0,7.0,60.0,41.0,,True,True,,,,,,,,,,,,,friendly
0,,,,1.0,0.0,39.0,1735.76,True,25-26-friendly-celta-vigo-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-celta-vigo/2u0z1a#4809793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,friendly
0,,,,0.0,0.0,91.0,1808.1,True,25-26-friendly-real-sociedad-vs-afc-bournemouth-1,/matches/real-sociedad-vs-afc-bournemouth/2ggu0z#4809757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,friendly
