id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
36,a,,,4.5,394,88,0,0,0,0,1.8,130,44,76,0,2.8,153,46,2,286,0.0,165,108,0.0,16.9,0,0,0,0,0,1.4,,0.48,1.23,1.71,28.64,0.02,0.05,0.07,1.25,359.2,173,61,181.0,185,43,171.0,170,38,71.3,191,60,,,,0,,Matty,Cash,Cash,,,2069.0,1.0,1.0,7.0,22.0,0.0,0.0,0.0,7.0,0.0,0.0,24.0,145.0,,,,0.0,0.3,0.96,1.04,6.31
25,a,,,5.5,194,123,0,0,0,0,0.3,304,99,66,0,2.5,189,81,4,251,0.0,551,214,0.0,12.0,0,0,0,0,0,2.5,,1.19,1.78,2.97,5.38,0.12,0.18,0.3,0.55,293.2,203,96,282.8,130,91,255.0,115,79,83.0,161,89,4.0,3.0,,0,,Ethan,Nwaneri,Nwaneri,,,882.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,53.0,,,,0.0,0.41,0.41,1.12,5.41
26,a,,,5.5,187,120,0,0,0,0,2.1,120,40,0,0,0.0,664,293,0,0,0.0,544,211,0.0,0.0,0,0,0,0,0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664,293,0.0,664,293,0.0,662,291,0.0,664,293,,,,0,,Martín,Zubimendi Ibáñez,Zubimendi,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
9,a,,,5.5,173,21,0,0,0,0,0.1,454,178,43,0,2.5,187,65,2,178,0.0,530,209,0.0,7.8,0,0,0,0,0,3.8,,0.17,0.29,0.46,14.71,0.01,0.02,0.03,1.19,267.2,214,77,91.3,244,82,32.0,286,102,39.2,261,88,,,,0,,Jakub,Kiwior,Kiwior,,,1117.0,1.0,0.0,3.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,93.0,,,,0.0,0.24,1.21,0.81,7.49
27,a,,,5.0,251,158,0,0,0,0,0.1,452,146,27,0,2.2,220,96,2,143,0.0,367,100,0.0,5.4,0,0,0,0,0,2.0,,1.07,0.96,2.03,6.13,0.2,0.18,0.38,1.14,131.6,287,136,223.9,158,110,195.0,156,102,55.1,226,120,,,,0,,Reiss,Nelson,Nelson,,,483.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,45.0,,,,0.0,0.19,1.68,0.93,8.39
30,a,,,7.5,22,10,0,0,0,0,1.2,160,28,97,0,4.2,35,9,14,343,0.0,660,64,0.0,12.9,0,0,0,0,0,2.9,,9.53,1.65,11.18,19.32,0.46,0.08,0.54,0.93,467.6,135,15,269.0,134,15,711.0,33,14,144.8,76,15,,,,0,,Kai,Havertz,Havertz,,,1872.0,9.0,3.0,7.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,99.0,,,,0.0,0.34,0.96,1.01,4.76
37,a,,,4.5,369,70,0,0,0,0,1.8,132,46,89,0,2.8,150,43,7,383,0.0,140,90,0.0,19.8,0,0,0,0,0,1.4,,0.8,3.97,4.77,34.94,0.03,0.15,0.18,1.34,512.6,122,41,583.9,52,7,112.0,213,64,120.7,103,20,7.0,2.0,,0,,Lucas,Digne,Digne,,,2348.0,0.0,5.0,6.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,28.0,178.0,,,,0.0,0.23,1.38,1.07,6.82
21,a,,,6.5,52,36,0,0,0,0,7.7,56,17,127,0,3.6,79,39,17,627,0.0,616,256,0.0,19.5,0,0,0,0,0,2.7,,3.51,5.64,9.14,27.13,0.11,0.18,0.29,0.86,733.0,44,12,959.6,9,9,399.0,80,56,208.8,24,19,2.0,1.0,,0,,Declan,Rice,Rice,,,2823.0,4.0,7.0,11.0,29.0,0.0,0.0,0.0,5.0,1.0,0.0,33.0,297.0,,,,0.0,0.35,0.92,1.05,9.47
22,a,,,6.0,91,63,0,0,0,0,0.7,215,73,92,0,3.3,112,53,8,326,0.0,583,235,0.0,15.3,0,0,0,0,0,2.6,,5.75,1.18,6.93,15.71,0.33,0.07,0.4,0.9,456.8,136,57,265.8,137,96,511.0,58,40,123.3,99,65,,,,0,,Mikel,Merino Zazón,Merino,,,1575.0,7.0,2.0,4.0,17.0,0.0,0.0,0.0,2.0,1.0,0.0,17.0,175.0,,,,0.0,0.23,0.97,0.97,10.0
662,a,,,5.5,195,29,0,0,0,0,0.1,449,175,0,0,0.0,666,227,0,0,0.0,552,217,0.0,0.0,0,0,0,0,0,3.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666,227,0.0,666,227,0.0,664,227,0.0,666,227,,,,0,,Cristhian,Mosquera,Mosquera,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
