id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
532,a,,,5.0,282,50,0,0,0,0,4.8,70,29,0,0,0.0,502,183,0,4,0.0,502,183,0.0,0.0,0,14015,1217,65977,16273,0.0,0.0,0.0,0.01,0.01,1.8,0.0,0.01,0.01,1.8,18.2,95,40,1.2,213,70,0.0,427,174,1.9,184,72,,,,2,,Daniel,Ballard,Ballard,,,90,0,0,0,2,0,0,0,1,0,0,1,9,,,,0.0,0.0,2.0,1.0,9.0,2,7,0
8,a,,,5.6,113,11,0,0,1,-1,41.7,5,1,9,0,9.0,20,7,0,31,4.5,51,19,0.8,1.6,0,347603,37498,55474,13841,4.5,4.5,0.04,0.09,0.13,0.06,0.04,0.1,0.14,0.07,26.0,62,24,12.2,105,31,4.0,137,45,4.2,98,34,,,,2,,Riccardo,Calafiori,Calafiori,,,80,0,1,1,0,0,0,0,0,0,0,1,5,,,,0.0,1.12,0.0,1.12,5.62,1,4,1
533,a,100.0,100.0,5.5,137,16,0,0,0,0,2.4,121,48,0,0,0.0,573,200,0,0,0.0,573,200,0.0,0.0,0,6277,689,43525,4938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549,203,0.0,564,203,0.0,538,196,0.0,565,203,,,,2,,Nordi,Mukiele,Mukiele,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
534,a,,,4.5,486,131,0,0,0,0,6.2,63,25,2,0,2.0,132,50,0,14,1.0,175,67,0.2,0.4,0,14837,1218,49686,12315,1.0,1.0,0.04,0.27,0.31,1.69,0.05,0.31,0.36,1.93,9.4,169,73,39.4,17,3,13.0,75,20,6.2,51,13,3.0,,,2,,Trai,Hume,Hume,,,79,0,0,0,1,0,0,0,0,0,0,1,4,,,,0.0,0.0,1.14,1.14,4.56,3,1,6
535,a,100.0,100.0,5.0,259,41,0,0,0,0,0.4,271,101,1,0,1.0,239,93,0,2,0.5,253,95,0.1,0.2,0,2934,337,6003,739,0.5,0.5,0.0,0.01,0.01,0.1,0.0,0.04,0.04,0.39,0.0,458,182,0.6,240,86,0.0,411,166,0.0,474,182,,,,2,,Omar,Alderete,Alderete,,,23,0,0,0,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,3.91,0.0,0.0,0,0,2
536,a,,,4.5,468,121,0,0,0,0,0.4,269,99,1,0,1.0,217,80,0,9,0.5,236,85,0.1,0.2,0,1075,100,4214,636,0.5,0.5,0.0,0.29,0.29,1.8,0.0,0.29,0.29,1.8,23.0,74,34,27.5,36,10,4.0,131,43,5.5,62,20,,,,2,,Reinildo,Mandava,Reinildo,,,90,0,0,0,2,0,0,0,0,0,0,1,8,,,,0.0,0.0,2.0,1.0,8.0,3,5,5
537,u,0.0,,4.5,502,137,0,0,0,0,0.0,592,202,0,0,0.0,435,165,0,0,0.0,435,165,0.0,0.0,0,61,3,220,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394,166,0.0,401,167,0.0,339,149,0.0,410,166,,,,2,,Jenson,Seelt,Seelt,Has joined Swansea City on loan for the rest of the season,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
538,u,0.0,0.0,4.0,592,180,0,0,0,0,0.1,488,171,0,0,0.0,355,119,0,0,0.0,355,119,0.0,0.0,0,0,0,1148,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,115,0.0,309,117,0.0,230,85,0.0,326,116,,,,2,,Leo Fuhr,Hjelde,Hjelde,Has joined KV Mechelen on loan for the rest of the season,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
539,a,,,4.0,563,159,0,0,0,0,3.4,100,40,1,0,1.0,197,61,0,1,0.5,221,71,0.1,0.2,0,5269,667,20597,3058,0.5,0.5,0.01,0.01,0.02,1.69,0.01,0.01,0.02,2.3,11.4,150,71,1.4,200,64,4.0,129,41,1.7,195,76,,,,2,,Luke,O'Nien,O'Nien,,,66,0,0,0,1,0,0,0,1,0,0,1,5,,,,0.0,0.0,1.36,1.36,6.82,1,4,4
540,u,0.0,0.0,4.0,556,154,0,0,0,0,0.2,339,127,0,0,0.0,334,108,0,0,0.0,334,108,0.0,0.0,0,0,0,5595,727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,104,0.0,285,103,0.0,203,68,0.0,304,104,,,,2,,Arthur,Masuaku,Masuaku,Has joined Konyaspor permanently,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
