player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints
517,25-26-prem-crystal-palace-vs-nottingham-forest,90,0,0,0,0.0,0.03,0,2,0,0,97,68,0.0,1.0,12,1,0.0,2,0.0,1,0,7,0,1,1,0,6,7,5,0.0,1,0.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,0,92,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
505,25-26-prem-crystal-palace-vs-nottingham-forest,90,0,0,0,0.0,0.02,0,0,0,1,67,53,0.0,0.0,2,0,0.0,3,0.0,1,0,2,0,6,2,0,5,3,2,0.0,3,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,92,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
273,25-26-prem-crystal-palace-vs-nottingham-forest,82,0,0,0,0.0,0.09,0,0,0,0,51,34,0.0,1.0,8,0,0.0,0,0.0,1,2,6,0,0,0,2,2,2,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,82,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
526,25-26-prem-crystal-palace-vs-nottingham-forest,3,0,0,1,0.07,0.0,0,0,0,2,3,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,88,92,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,25-26-prem-arsenal-vs-leeds-united,64,2,1,3,0.81,0.05,2,0,0,4,57,33,0.0,2.0,5,0,0.0,2,0.0,1,2,1,0,0,0,0,6,3,4,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,1.67,4,0,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
666,25-26-prem-arsenal-vs-leeds-united,90,2,0,3,1.28,0.03,2,1,1,6,24,4,0.0,0.0,0,0,0.0,0,0.0,0,0,3,0,2,1,0,6,4,2,0.0,4,0.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.85,0,0,95,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
7,25-26-prem-arsenal-vs-leeds-united,64,0,2,3,0.39,0.01,0,2,0,5,45,20,0.0,2.0,6,0,0.0,2,0.0,0,0,1,1,0,0,1,2,2,2,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,25-26-prem-arsenal-vs-leeds-united,90,0,1,0,0.0,0.54,0,1,0,1,75,63,0.0,3.0,5,3,0.0,1,0.0,0,0,3,0,0,0,1,1,2,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,25-26-prem-arsenal-vs-leeds-united,53,1,0,1,0.11,0.03,1,0,0,3,27,13,0.0,2.0,1,2,0.0,0,0.0,0,0,4,0,0,0,0,1,2,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.26,0,0,53,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,25-26-prem-arsenal-vs-leeds-united,90,0,0,1,0.02,0.02,0,1,0,0,95,72,0.0,0.0,8,0,0.0,1,0.0,1,1,5,0,0,0,0,5,2,4,0.0,1,0.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,25-26-prem-arsenal-vs-leeds-united,90,0,0,0,0.0,0.01,0,0,0,1,130,118,0.0,0.0,6,0,0.0,5,0.0,0,1,4,0,4,3,0,3,1,1,0.0,2,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,25-26-prem-arsenal-vs-leeds-united,90,0,0,0,0.0,0.0,0,0,0,0,34,28,0.0,0.0,4,0,0.0,6,0.0,0,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.14,0.14,0,28,6,,0,0,0,0,0.0,0.0,0.0,0,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,25-26-prem-arsenal-vs-leeds-united,90,0,0,1,0.04,0.01,0,0,0,2,113,94,0.0,0.0,8,0,0.0,4,0.0,0,1,4,1,1,0,0,4,1,1,0.0,3,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,25-26-prem-arsenal-vs-leeds-united,64,0,0,0,0.0,0.09,0,1,0,5,32,19,0.0,2.0,0,1,0.0,0,0.0,0,0,3,0,0,0,1,3,4,2,0.0,1,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
700,25-26-prem-arsenal-vs-leeds-united,27,0,0,2,0.08,0.02,0,1,0,5,16,2,0.0,0.0,0,0,0.0,0,0.0,2,0,1,0,0,0,0,5,4,5,0.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,64,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,25-26-prem-arsenal-vs-leeds-united,27,0,0,0,0.0,0.0,0,2,0,0,28,21,0.0,0.0,0,0,0.0,0,0.0,1,0,2,0,0,0,0,4,2,4,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,64,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
