match_id,match_url,player_id,minutes_played,goals,assists,total_shots,xg,xa,xgot,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,tackles_won_percent,tackles,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,successful_dribbles_percent,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,high_claim,gk_accurate_long_balls,gk_accurate_passes,offsides
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,17,85.0,1.0,0.0,2.0,0.2,0.01,0.71,1.0,2.0,,4.0,41.0,15.0,65.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,71.0,2.0,100.0,2.0,1.0,67.0,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,328,90.0,1.0,0.0,3.0,0.35,0.08,0.91,2.0,2.0,,8.0,46.0,25.0,83.0,1.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,50.0,0.0,0.0,1.0,0.0,67.0,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,16,90.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,,1.0,63.0,43.0,83.0,2.0,5.0,2.0,67.0,4.0,80.0,1.0,50.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,3.0,4.0,2.0,40.0,1.0,50.0,0.0,2.0,,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,339,90.0,1.0,0.0,1.0,0.25,0.03,0.72,1.0,0.0,,3.0,95.0,73.0,87.0,1.0,11.0,0.0,,4.0,44.0,1.0,100.0,1.0,1.0,1.0,0.0,6.0,5.0,0.0,7.0,4.0,2.0,67.0,5.0,63.0,1.0,1.0,,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,633,90.0,1.0,0.0,2.0,0.4,0.04,0.88,1.0,0.0,,5.0,47.0,27.0,79.0,1.0,6.0,0.0,,0.0,0.0,2.0,67.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,7.0,10.0,3.0,30.0,4.0,57.0,0.0,4.0,,,,,,,,,,1.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,24,90.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,60.0,46.0,88.0,1.0,7.0,0.0,,3.0,43.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,316,90.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,2.0,,5.0,28.0,13.0,76.0,1.0,2.0,0.0,0.0,1.0,100.0,1.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,4.0,40.0,1.0,20.0,1.0,4.0,100.0,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,9,85.0,0.0,0.0,1.0,0.05,0.39,0.0,0.0,2.0,,7.0,40.0,14.0,61.0,1.0,0.0,1.0,25.0,0.0,0.0,1.0,100.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,50.0,1.0,100.0,0.0,0.0,100.0,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,327,63.0,0.0,1.0,0.0,0.0,0.39,0.0,0.0,2.0,,5.0,32.0,9.0,90.0,1.0,0.0,0.0,0.0,0.0,,1.0,33.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,13.0,6.0,35.0,1.0,33.0,1.0,5.0,40.0,,,,,,,,,1.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,3,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,37.0,25.0,81.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,100.0,2.0,100.0,3.0,0.0,,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,326,90.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,0.0,74.0,54.0,89.0,0.0,6.0,0.0,,2.0,67.0,2.0,100.0,2.0,0.0,6.0,0.0,7.0,4.0,1.0,3.0,1.0,3.0,75.0,0.0,0.0,1.0,0.0,,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,20,90.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,0.0,79.0,39.0,87.0,0.0,6.0,0.0,,1.0,33.0,4.0,80.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,13.0,8.0,9.0,56.0,4.0,80.0,4.0,2.0,0.0,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,321,27.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,,0.0,25.0,12.0,92.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,100.0,0.0,0.0,2.0,0.0,100.0,,,,,,,,,0.0
24-25-prem-arsenal-vs-liverpool,/matches/liverpool-vs-arsenal/2tmaz7#4506403,6,76.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,1.0,30.0,17.0,89.0,1.0,1.0,0.0,,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,2.0,3.0,2.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0
