gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed
23,2025-01-25 15:00:00,91,1800.63,5,0,17,1784.51,True,24-25-prem-afc-bournemouth-vs-nottingham-forest,/matches/afc-bournemouth-vs-nottingham-forest/2y4tjb#4506603,51,49,1.69,0.98,16,18,10,4,3,1,0,1,288,253,80,75,9,12,3,9,1.47,0.4,0.22,0.58,1.69,0.98,3.8,1.02,3,9,3,5,0,1,11,11,5,7,358,338,128,113,160,140,21,19,34,43,2,6,12,26,10,20,31,34,2,2,2,3,0,0,12,6,55,55,9,5,5,3,34,24,4,5,54,48,45,28,62,38,9,20,31,69,11,8,79,57,4506603.0,True,False
23,2025-01-26 16:30:00,7,1806.63,1,1,21,1721.22,True,24-25-prem-aston-villa-vs-west-ham-united,/matches/west-ham-united-vs-aston-villa/2yexzh#4506604,46,54,0.85,1.31,14,14,4,4,0,4,0,3,309,374,82,84,13,16,4,3,0.71,1.07,0.15,0.25,0.85,1.31,0.81,1.44,6,6,4,4,0,0,9,9,5,5,378,443,176,195,133,179,8,39,24,60,4,9,24,41,17,16,26,39,2,4,2,3,0,0,15,17,56,55,9,14,5,4,22,24,2,3,69,75,49,57,46,54,20,18,53,47,8,15,32,47,4506604.0,True,False
23,2025-01-25 15:00:00,36,1778.03,0,1,11,1705.09,True,24-25-prem-brighton-&-hove-albion-vs-everton,/matches/everton-vs-brighton-hove-albion/2y16fs#4506605,69,31,0.73,0.85,16,3,1,1,0,1,0,0,560,224,87,75,8,11,9,1,0.69,0.04,0.04,0.02,0.73,0.06,0.61,0.9,11,2,4,0,0,0,9,2,7,1,641,298,226,151,334,73,25,24,51,39,5,0,17,0,22,16,32,7,2,1,4,4,0,0,10,15,43,58,7,11,0,4,18,55,0,1,62,61,42,36,54,46,20,25,44,56,8,5,42,33,4506605.0,True,False
23,2025-01-26 14:00:00,31,1777.41,1,2,94,1739.21,True,24-25-prem-crystal-palace-vs-brentford,/matches/crystal-palace-vs-brentford/38a4jj#4506606,47,53,1.08,1.26,16,12,5,6,1,1,0,0,223,251,71,71,8,11,4,7,0.61,0.31,0.47,0.16,1.08,0.47,1.3,1.73,7,5,4,1,1,0,8,6,8,6,315,352,118,131,105,120,17,16,28,27,3,7,18,39,14,22,22,33,1,0,2,2,0,0,13,9,87,56,2,2,1,4,36,45,4,4,48,53,30,34,47,53,18,19,49,51,4,10,33,50,4506606.0,True,False
23,2025-01-26 19:00:00,54,1765.26,0,1,1,1755.29,True,24-25-prem-fulham-vs-manchester-united,/matches/fulham-vs-manchester-united/3cqww9#4506607,51,49,0.67,0.25,9,4,3,1,0,0,0,0,413,412,83,84,7,9,3,0,0.49,0.03,0.18,0.23,0.67,0.25,0.19,0.16,6,2,0,1,0,0,8,1,1,3,496,491,222,236,191,176,20,21,43,40,8,1,35,14,16,19,22,10,2,2,0,1,0,0,10,9,63,50,7,7,1,1,10,22,0,2,42,44,28,28,50,50,14,16,47,53,4,3,29,30,4506607.0,True,False
23,2025-01-25 15:00:00,14,2003.65,4,1,40,1596.18,True,24-25-prem-liverpool-vs-ipswich-town,/matches/liverpool-vs-ipswich-town/2ugv0q#4506608,70,30,1.98,0.48,16,3,6,3,3,2,0,1,673,241,90,77,10,11,3,4,1.92,0.2,0.06,0.28,1.98,0.48,3.05,0.95,7,0,3,0,1,0,10,2,6,1,746,312,208,192,465,49,22,18,67,38,5,3,21,33,18,11,43,7,0,1,0,2,0,0,9,12,56,55,3,13,0,3,7,34,2,2,54,45,43,40,52,48,11,5,69,31,16,8,70,50,4506608.0,True,False
23,2025-01-25 17:30:00,43,1935.03,3,1,8,1861.46,True,24-25-prem-manchester-city-vs-chelsea,/matches/chelsea-vs-manchester-city/2d55kw#4506609,57,43,2.5,1.8,15,10,6,4,7,3,4,2,489,352,86,83,6,8,2,3,2.09,1.73,0.41,0.07,2.5,1.8,2.35,1.82,6,3,3,3,1,0,9,7,6,3,567,425,321,219,168,133,23,25,43,40,2,0,40,0,20,28,26,23,5,2,3,2,0,0,9,8,69,67,6,4,3,3,15,12,3,3,37,37,30,29,51,49,7,8,47,53,9,11,56,58,4506609.0,True,False
23,2025-01-25 15:00:00,20,1549.95,1,3,4,1832.97,True,24-25-prem-southampton-vs-newcastle-united,/matches/southampton-vs-newcastle-united/2weqvy#4506610,53,47,0.76,2.93,12,17,5,9,1,6,0,3,396,357,84,83,10,5,3,8,0.53,1.86,0.23,0.29,0.76,2.15,1.17,2.7,3,4,4,4,0,1,7,10,5,7,470,428,170,190,226,167,29,9,48,28,4,1,25,9,15,11,15,34,2,4,1,0,0,0,7,12,33,63,5,11,4,3,23,19,5,4,56,40,35,36,49,51,21,4,84,16,9,7,53,44,4506610.0,True,False
23,2025-01-26 14:00:00,6,1783.82,1,2,13,1606.41,True,24-25-prem-tottenham-hotspur-vs-leicester-city,/matches/leicester-city-vs-tottenham-hotspur/2buxqa#4506611,61,39,1.04,1.56,15,12,6,3,2,1,1,0,450,263,84,74,6,16,6,4,0.82,1.44,0.22,0.11,1.04,1.56,1.77,1.54,5,2,4,7,2,0,8,6,7,6,535,354,239,118,211,145,20,27,48,42,6,3,18,19,26,12,23,15,5,2,1,5,0,0,6,17,60,65,9,16,7,4,16,32,1,5,51,60,32,41,44,56,19,19,50,50,6,10,38,71,4506611.0,True,False
23,2025-01-25 15:00:00,39,1663.88,0,1,3,1981.88,True,24-25-prem-wolverhampton-wanderers-vs-arsenal,/matches/wolverhampton-wanderers-vs-arsenal/2t3bl7#4506612,52,48,0.74,1.0,9,9,4,3,1,3,1,3,364,329,84,83,20,10,1,5,0.67,0.48,0.07,0.52,0.74,1.0,0.74,0.72,4,3,1,3,0,0,4,6,5,3,433,397,189,145,175,184,20,14,43,36,3,4,21,17,14,27,12,20,0,0,0,1,1,1,20,11,74,50,7,8,2,1,30,14,2,4,56,57,42,50,46,54,14,7,67,33,7,8,37,32,4506612.0,True,False
