match_id,minute,value
25-26-efl-cup-brentford-vs-afc-bournemouth,1,6
25-26-efl-cup-brentford-vs-afc-bournemouth,2,-39
25-26-efl-cup-brentford-vs-afc-bournemouth,3,-19
25-26-efl-cup-brentford-vs-afc-bournemouth,4,-31
25-26-efl-cup-brentford-vs-afc-bournemouth,5,-23
25-26-efl-cup-brentford-vs-afc-bournemouth,6,-15
25-26-efl-cup-brentford-vs-afc-bournemouth,7,-31
25-26-efl-cup-brentford-vs-afc-bournemouth,8,-13
25-26-efl-cup-brentford-vs-afc-bournemouth,9,-19
25-26-efl-cup-brentford-vs-afc-bournemouth,10,-11
25-26-efl-cup-brentford-vs-afc-bournemouth,11,-15
25-26-efl-cup-brentford-vs-afc-bournemouth,12,-10
25-26-efl-cup-brentford-vs-afc-bournemouth,13,-10
25-26-efl-cup-brentford-vs-afc-bournemouth,14,-3
25-26-efl-cup-brentford-vs-afc-bournemouth,15,22
25-26-efl-cup-brentford-vs-afc-bournemouth,16,1
25-26-efl-cup-brentford-vs-afc-bournemouth,17,11
25-26-efl-cup-brentford-vs-afc-bournemouth,18,22
25-26-efl-cup-brentford-vs-afc-bournemouth,19,14
25-26-efl-cup-brentford-vs-afc-bournemouth,20,39
25-26-efl-cup-brentford-vs-afc-bournemouth,21,8
25-26-efl-cup-brentford-vs-afc-bournemouth,22,-28
25-26-efl-cup-brentford-vs-afc-bournemouth,23,-20
25-26-efl-cup-brentford-vs-afc-bournemouth,24,-12
25-26-efl-cup-brentford-vs-afc-bournemouth,25,-13
25-26-efl-cup-brentford-vs-afc-bournemouth,26,-11
25-26-efl-cup-brentford-vs-afc-bournemouth,27,-19
25-26-efl-cup-brentford-vs-afc-bournemouth,28,-6
25-26-efl-cup-brentford-vs-afc-bournemouth,29,-15
25-26-efl-cup-brentford-vs-afc-bournemouth,30,-26
25-26-efl-cup-brentford-vs-afc-bournemouth,31,-12
25-26-efl-cup-brentford-vs-afc-bournemouth,32,-9
25-26-efl-cup-brentford-vs-afc-bournemouth,33,-1
25-26-efl-cup-brentford-vs-afc-bournemouth,34,37
25-26-efl-cup-brentford-vs-afc-bournemouth,35,19
25-26-efl-cup-brentford-vs-afc-bournemouth,36,6
25-26-efl-cup-brentford-vs-afc-bournemouth,37,18
25-26-efl-cup-brentford-vs-afc-bournemouth,38,4
25-26-efl-cup-brentford-vs-afc-bournemouth,39,-3
25-26-efl-cup-brentford-vs-afc-bournemouth,40,8
