player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
427,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,24.0,0.0,0.0,,,0.01,,,,1.0,14.0,8.0,67.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,66,91,1,0.0,0,,,,,,,
440,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,24.0,0.0,0.0,1.0,0.01,,0.0,,,2.0,17.0,5.0,56.0,0.0,2.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,,1.0,1.0,4.0,0.0,0.0,1.0,100.0,,0.0,,,,,,,,1.0,,,,,,,,,66,91,1,0.0,0,,,,,,,
125,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,8.0,0.0,0.0,,,,,,,0.0,10.0,0.0,0.0,0.0,,,,,,2.0,1.0,1.0,0.0,0.0,,0.0,4.0,2.0,4.0,80.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,82,91,0,0.0,0,,,,,,,
439,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,66.0,0.0,0.0,,,,,,,0.0,23.0,8.0,57.0,0.0,2.0,,,1.0,100.0,0.0,0.0,2.0,0.0,0.0,,0.0,4.0,5.0,1.0,33.0,3.0,50.0,1.0,0.0,,,,,,,,0.0,,,,,,,,,0,66,2,0.0,0,,,,,,,
119,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,90.0,0.0,0.0,,,0.09,,,,0.0,75.0,43.0,78.0,3.0,7.0,2.0,67.0,2.0,40.0,0.0,1.0,4.0,0.0,0.0,,2.0,4.0,5.0,3.0,43.0,1.0,50.0,,0.0,,,,,,,,2.0,,,,,,,,,0,91,2,0.0,0,,,,,,,
115,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,24.0,1.0,0.0,2.0,0.36,,1.0,,,2.0,22.0,13.0,93.0,0.0,,0.0,0.0,1.0,50.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.83,,66,91,0,0.0,0,,,,,,,
129,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,16.0,0.0,0.0,,,0.02,,,,0.0,18.0,12.0,100.0,0.0,2.0,,,3.0,100.0,2.0,0.0,3.0,0.0,1.0,,0.0,3.0,1.0,3.0,75.0,0.0,,,1.0,,,,,,,,0.0,,,,,,,,,74,91,0,0.0,0,,,,,,,
614,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,74.0,0.0,1.0,,,0.15,,,,0.0,48.0,23.0,85.0,1.0,2.0,1.0,50.0,2.0,100.0,3.0,1.0,8.0,0.0,0.0,,1.0,4.0,5.0,4.0,44.0,0.0,,1.0,2.0,,,,,,,,0.0,,,,,,,,,0,74,2,0.0,0,,,,,,,
432,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,24.0,0.0,0.0,,,0.01,,,,0.0,29.0,24.0,96.0,0.0,1.0,,,1.0,50.0,0.0,0.0,4.0,0.0,0.0,,0.0,2.0,,2.0,100.0,0.0,,1.0,0.0,,,,,,,,0.0,,,,,,,,,66,91,1,0.0,0,,,,,,,
127,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,24.0,0.0,0.0,1.0,0.33,0.01,1.0,,,1.0,22.0,9.0,56.0,1.0,4.0,0.0,0.0,,,1.0,0.0,4.0,0.0,1.0,1.0,2.0,3.0,5.0,1.0,17.0,2.0,100.0,,2.0,,,,,,,,1.0,,,,,,,0.18,,66,91,0,0.0,0,,,,,,,
162,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,66.0,0.0,0.0,,,0.02,,,,0.0,68.0,47.0,87.0,0.0,3.0,,,1.0,50.0,2.0,2.0,5.0,0.0,2.0,,0.0,10.0,1.0,5.0,100.0,5.0,83.0,2.0,0.0,,,,,,,,0.0,,,,,,,,,0,66,2,0.0,0,,,,,,,
504,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,90.0,0.0,1.0,2.0,0.04,0.09,0.0,,,1.0,81.0,56.0,80.0,1.0,4.0,,,2.0,29.0,2.0,2.0,7.0,0.0,2.0,,1.0,5.0,3.0,3.0,60.0,2.0,67.0,1.0,1.0,,,,,,,,0.0,,,,,,,,,0,91,2,0.0,0,,,,,,,
435,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,66.0,1.0,0.0,1.0,0.03,0.01,1.0,,,2.0,39.0,16.0,84.0,0.0,1.0,0.0,0.0,1.0,50.0,3.0,1.0,3.0,0.0,1.0,,0.0,6.0,4.0,6.0,60.0,0.0,,2.0,0.0,,,,,,,,0.0,,,,,,,0.28,,0,66,2,0.0,0,,,,,,,
138,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,82.0,1.0,0.0,4.0,0.57,0.16,1.0,,,13.0,45.0,17.0,85.0,2.0,2.0,2.0,100.0,,,0.0,0.0,5.0,0.0,0.0,,0.0,3.0,11.0,1.0,11.0,2.0,40.0,1.0,2.0,,,,,,,,4.0,,,,,,,0.46,,0,82,2,0.0,0,,,,,,,
639,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,90.0,0.0,0.0,1.0,0.15,0.02,0.0,,,1.0,53.0,33.0,82.0,0.0,4.0,,,1.0,33.0,1.0,2.0,5.0,0.0,1.0,1.0,1.0,4.0,8.0,2.0,25.0,2.0,50.0,1.0,3.0,,,,,,,,2.0,,,,,,,,,0,91,2,0.0,0,,,,,,,
605,26-27-efl-cup-manchester-united-vs-brighton-hove-albion-2026-09-08,66.0,0.0,0.0,1.0,0.06,0.07,0.0,,,6.0,38.0,16.0,80.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,3.0,8.0,2.0,22.0,1.0,50.0,1.0,1.0,,,,,,,,3.0,,,,,,,,,0,66,2,0.0,0,,,,,,,
