match_id,minute,value
26-27-prem-brentford-vs-chelsea,1.0,-2
26-27-prem-brentford-vs-chelsea,2.0,-18
26-27-prem-brentford-vs-chelsea,3.0,-12
26-27-prem-brentford-vs-chelsea,4.0,-12
26-27-prem-brentford-vs-chelsea,5.0,45
26-27-prem-brentford-vs-chelsea,6.0,22
26-27-prem-brentford-vs-chelsea,7.0,14
26-27-prem-brentford-vs-chelsea,8.0,-15
26-27-prem-brentford-vs-chelsea,9.0,26
26-27-prem-brentford-vs-chelsea,10.0,-71
26-27-prem-brentford-vs-chelsea,11.0,-40
26-27-prem-brentford-vs-chelsea,12.0,-55
26-27-prem-brentford-vs-chelsea,13.0,-60
26-27-prem-brentford-vs-chelsea,14.0,-37
26-27-prem-brentford-vs-chelsea,15.0,-22
26-27-prem-brentford-vs-chelsea,16.0,-12
26-27-prem-brentford-vs-chelsea,17.0,-8
26-27-prem-brentford-vs-chelsea,18.0,-5
26-27-prem-brentford-vs-chelsea,19.0,-6
26-27-prem-brentford-vs-chelsea,20.0,8
26-27-prem-brentford-vs-chelsea,21.0,17
26-27-prem-brentford-vs-chelsea,22.0,49
26-27-prem-brentford-vs-chelsea,23.0,54
26-27-prem-brentford-vs-chelsea,24.0,33
26-27-prem-brentford-vs-chelsea,25.0,30
26-27-prem-brentford-vs-chelsea,26.0,3
26-27-prem-brentford-vs-chelsea,27.0,-14
26-27-prem-brentford-vs-chelsea,28.0,-33
26-27-prem-brentford-vs-chelsea,29.0,-25
26-27-prem-brentford-vs-chelsea,30.0,-48
26-27-prem-brentford-vs-chelsea,31.0,-53
26-27-prem-brentford-vs-chelsea,32.0,-37
26-27-prem-brentford-vs-chelsea,33.0,-13
26-27-prem-brentford-vs-chelsea,34.0,8
26-27-prem-brentford-vs-chelsea,35.0,-4
26-27-prem-brentford-vs-chelsea,36.0,2
26-27-prem-brentford-vs-chelsea,37.0,35
26-27-prem-brentford-vs-chelsea,38.0,20
26-27-prem-brentford-vs-chelsea,39.0,32
26-27-prem-brentford-vs-chelsea,40.0,23
26-27-prem-brentford-vs-chelsea,41.0,17
26-27-prem-brentford-vs-chelsea,42.0,10
26-27-prem-brentford-vs-chelsea,43.0,-8
26-27-prem-brentford-vs-chelsea,44.0,35
26-27-prem-brentford-vs-chelsea,45.0,37
26-27-prem-brentford-vs-chelsea,45.5,0
26-27-prem-brentford-vs-chelsea,46.0,4
26-27-prem-brentford-vs-chelsea,47.0,15
26-27-prem-brentford-vs-chelsea,48.0,1
26-27-prem-brentford-vs-chelsea,49.0,-3
26-27-prem-brentford-vs-chelsea,50.0,-3
26-27-prem-brentford-vs-chelsea,51.0,10
26-27-prem-brentford-vs-chelsea,52.0,-22
26-27-prem-brentford-vs-chelsea,53.0,-9
26-27-prem-brentford-vs-chelsea,54.0,7
26-27-prem-brentford-vs-chelsea,55.0,3
26-27-prem-brentford-vs-chelsea,56.0,7
26-27-prem-brentford-vs-chelsea,57.0,-8
26-27-prem-brentford-vs-chelsea,58.0,6
26-27-prem-brentford-vs-chelsea,59.0,39
26-27-prem-brentford-vs-chelsea,60.0,13
26-27-prem-brentford-vs-chelsea,61.0,11
26-27-prem-brentford-vs-chelsea,62.0,31
26-27-prem-brentford-vs-chelsea,63.0,21
26-27-prem-brentford-vs-chelsea,64.0,38
26-27-prem-brentford-vs-chelsea,65.0,18
26-27-prem-brentford-vs-chelsea,66.0,11
26-27-prem-brentford-vs-chelsea,67.0,1
26-27-prem-brentford-vs-chelsea,68.0,-41
26-27-prem-brentford-vs-chelsea,69.0,-28
26-27-prem-brentford-vs-chelsea,70.0,-22
26-27-prem-brentford-vs-chelsea,71.0,-26
26-27-prem-brentford-vs-chelsea,72.0,18
26-27-prem-brentford-vs-chelsea,73.0,-8
26-27-prem-brentford-vs-chelsea,74.0,-11
26-27-prem-brentford-vs-chelsea,75.0,-14
26-27-prem-brentford-vs-chelsea,76.0,-58
26-27-prem-brentford-vs-chelsea,77.0,-83
26-27-prem-brentford-vs-chelsea,78.0,-77
26-27-prem-brentford-vs-chelsea,79.0,-100
26-27-prem-brentford-vs-chelsea,80.0,-70
26-27-prem-brentford-vs-chelsea,81.0,-58
26-27-prem-brentford-vs-chelsea,82.0,-24
26-27-prem-brentford-vs-chelsea,83.0,34
26-27-prem-brentford-vs-chelsea,84.0,8
26-27-prem-brentford-vs-chelsea,85.0,-17
26-27-prem-brentford-vs-chelsea,86.0,-2
26-27-prem-brentford-vs-chelsea,87.0,-8
26-27-prem-brentford-vs-chelsea,88.0,-13
26-27-prem-brentford-vs-chelsea,89.0,14
26-27-prem-brentford-vs-chelsea,90.0,-11
26-27-prem-brentford-vs-chelsea,90.5,2
