id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
723,a,,,4.5,456,291,0,0,0,0,0.0,751,317,0,0,0.0,724,303,0,0,0.0,651,258,0.0,0.0,0,448,48,197,29,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720,302,0.0,715,302,0.0,702,298,0.0,720,301,,,,26,
739,a,,,1.1,773,10,0,0,0,0,3.2,282,9,33,12,0.0,547,15,0,0,11.0,3,2,10.0,30.0,0,50632,6630,15626,12747,10.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540,15,0.0,517,15,0.0,473,15,0.0,540,15,,,,26,
158,u,0.0,0.0,4.4,543,322,0,0,-1,1,0.1,459,160,0,0,0.0,658,254,0,0,0.0,571,200,0.0,0.0,0,23729,0,29862,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652,252,0.0,647,253,0.0,627,245,0.0,652,251,,,,26,
287,u,0.0,0.0,4.4,504,313,0,0,-1,1,1.7,156,50,4,0,1.0,449,204,0,29,0.0,556,193,0.0,0.9,0,474957,0,340198,13075,0.0,0.0,0.0,0.19,0.19,5.28,0.0,0.13,0.13,3.68,33.8,421,193,30.4,358,197,6.0,415,217,7.0,425,206,,,,26,
414,a,,,3.9,722,66,0,0,-1,1,0.3,335,49,0,0,0.0,554,43,0,0,0.0,407,26,0.0,0.0,0,21811,490,25886,308,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547,43,0.0,524,20,0.0,480,3,0.0,547,43,,,,26,
541,a,100.0,100.0,6.9,31,15,1,-1,4,-4,16.0,22,5,141,9,5.6,11,5,33,662,8.3,13,3,1.2,20.4,3,5328701,587916,3892693,12691,8.3,7.8,6.47,4.36,10.83,35.93,0.28,0.19,0.47,1.58,761.6,7,3,643.0,16,1,684.0,15,9,208.9,6,3,1.0,3.0,3.0,26,
170,u,0.0,0.0,4.0,678,197,0,0,0,0,0.0,614,211,0,0,0.0,604,211,0,0,0.0,476,170,0.0,0.0,0,0,0,7440,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598,212,0.0,581,210,0.0,545,199,0.0,598,212,,,,26,
221,i,0.0,0.0,4.3,562,115,0,0,-2,2,0.0,606,208,3,0,1.0,444,157,0,9,0.0,533,214,0.0,0.7,0,4939,10,8112,59,0.0,0.0,0.62,0.01,0.63,4.32,0.28,0.0,0.28,1.98,38.0,412,148,1.9,464,170,21.0,356,116,6.2,434,148,,,,26,
325,a,,,4.0,641,47,0,0,-5,5,1.1,202,28,37,0,4.6,25,1,1,127,0.0,444,46,0.0,9.2,1,725699,2086,688810,3762,0.5,0.5,0.0,0.0,0.0,9.68,0.0,0.0,0.0,1.21,196.8,252,25,0.0,554,40,0.0,516,24,19.7,357,26,,,,26,
703,a,,,4.0,669,189,0,0,0,0,0.0,700,238,0,0,0.0,597,205,0,0,0.0,468,163,0.0,0.0,0,791,68,507,36,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592,207,0.0,575,205,0.0,537,192,0.0,592,207,,,,26,
412,a,,,4.3,569,31,0,0,-2,2,0.1,477,64,0,0,0.0,644,77,0,0,0.0,537,73,0.0,0.0,0,3600,25,10513,81,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638,77,0.0,629,67,0.0,600,54,0.0,638,77,,,,26,
686,a,,,4.0,710,225,0,0,0,0,0.0,648,217,0,0,0.0,628,231,0,0,0.0,505,195,0.0,0.0,0,2271,75,1823,111,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622,232,0.0,606,231,0.0,572,222,0.0,622,232,,,,26,
543,a,,,4.3,566,117,0,0,-2,2,0.3,309,111,48,5,2.5,185,55,2,188,3.7,92,22,0.9,11.2,0,44172,4485,32405,823,3.7,3.2,1.04,0.84,1.88,20.9,0.07,0.06,0.13,1.41,352.4,141,54,139.3,202,49,121.0,191,43,61.3,183,56,,,,26,
544,a,,,4.7,331,216,0,0,-3,3,0.0,587,225,25,1,1.2,410,196,0,118,1.0,272,130,0.2,5.3,0,5114,48,7329,80,1.0,0.5,0.55,0.34,0.89,9.52,0.11,0.07,0.18,1.87,106.0,338,154,100.2,247,156,32.0,327,178,24.1,326,164,,,,26,
545,u,0.0,0.0,5.0,219,47,0,0,0,0,0.1,483,66,0,0,0.0,764,77,0,0,0.0,727,65,0.0,0.0,0,7594,0,34002,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764,76,0.0,763,76,0.0,758,76,0.0,764,76,,,,26,
8,a,,,4.8,317,40,0,0,-2,2,0.2,398,139,13,0,1.6,343,111,0,39,0.0,699,251,0.0,2.7,0,26016,123,36674,288,0.0,0.5,0.0,0.03,0.03,4.45,0.0,0.01,0.01,1.24,49.2,398,139,13.7,415,143,0.0,736,257,6.3,433,147,,,,26,
66,u,0.0,0.0,5.0,217,139,0,0,0,0,0.0,734,308,0,0,0.0,763,329,0,0,0.0,726,309,0.0,0.0,0,23,0,1449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763,329,0.0,762,329,0.0,757,328,0.0,763,329,,,,26,
615,a,100.0,100.0,3.9,749,78,0,0,-1,1,0.1,552,68,0,0,0.0,566,54,0,0,0.0,424,38,0.0,0.0,0,8166,437,8033,94,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559,54,0.0,537,32,0.0,494,15,0.0,559,54,,,,26,
