match_id,match_url,player_id,minutes_played,goals,assists,total_shots,xg,xa,xgot,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,tackles_won_percent,tackles,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,successful_dribbles_percent,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,high_claim,gk_accurate_long_balls,gk_accurate_passes,offsides
24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,54,90.0,0.0,2.0,0.0,0.0,0.6,0.0,0.0,2.0,0.0,8.0,50.0,27.0,82.0,3.0,2.0,0.0,,0.0,,1.0,100.0,1.0,1.0,6.0,0.0,1.0,1.0,3.0,3.0,11.0,3.0,23.0,0.0,0.0,0.0,2.0,33.0,,,,,,,,,
24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,44,90.0,1.0,0.0,1.0,0.21,0.02,0.37,1.0,1.0,0.0,2.0,69.0,56.0,97.0,0.0,8.0,0.0,0.0,0.0,,2.0,100.0,2.0,1.0,5.0,0.0,1.0,0.0,1.0,5.0,2.0,5.0,71.0,0.0,0.0,2.0,0.0,50.0,,,,,,,,,
24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,57,90.0,0.0,1.0,0.0,0.0,0.38,0.0,0.0,2.0,0.0,1.0,82.0,51.0,85.0,3.0,14.0,3.0,33.0,2.0,67.0,2.0,67.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,62.0,0.0,0.0,3.0,2.0,67.0,,,,,,,,,
24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,58,89.0,1.0,0.0,3.0,0.34,0.06,0.39,2.0,0.0,1.0,5.0,23.0,8.0,80.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,40.0,1.0,100.0,2.0,1.0,0.0,,,,,,,,,
24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,541,90.0,1.0,0.0,1.0,0.03,0.22,0.16,1.0,2.0,0.0,3.0,57.0,30.0,88.0,3.0,4.0,4.0,57.0,1.0,100.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,5.0,11.0,5.0,31.0,0.0,0.0,3.0,3.0,50.0,,,,,,,,,
24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,47,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,85.0,0.0,2.0,0.0,,1.0,20.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,3.0,1.0,1.12,0.12,1.0,0.0,1.0,22.0,
24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,558,82.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.0,64.0,48.0,96.0,1.0,3.0,0.0,,8.0,80.0,1.0,100.0,1.0,3.0,0.0,2.0,5.0,3.0,0.0,3.0,3.0,1.0,25.0,2.0,100.0,0.0,2.0,,,,,,,,,,
24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,52,90.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,63.0,50.0,89.0,0.0,11.0,0.0,,2.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,100.0,2.0,50.0,1.0,0.0,100.0,,,,,,,,,
24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,553,82.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,55.0,42.0,95.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,40.0,5.0,2.0,5.0,0.0,1.0,0.0,1.0,5.0,3.0,5.0,63.0,0.0,0.0,0.0,2.0,,,,,,,,,,
24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,38,28.0,1.0,0.0,2.0,1.03,0.0,1.0,1.0,0.0,1.0,2.0,15.0,4.0,100.0,0.0,0.0,0.0,,0.0,,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,3.0,43.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,
