id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
45,Lino,da Cruz Sousa,Sousa,a,,,4.0,667,,0.3,291,,0.0,,,0,0,,0,,598,644,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,2980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
46,Yasin,Özcan,Yasin,a,has joined Anderlecht on loan for the rest of the season.,,4.0,699,,0.2,341,,0.0,,,0,0,,0,,266,438,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
47,Morgan,Rogers,Rogers,a,,,7.0,34,,8.7,49,,2.3,,,2,0,,0,,11862,36793,0.3,1.0,2.3,2.3,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,90,0,0,0,3,0,0,0,0,0,0,1,0,9,77098,127345,0.0,0.04000000000000001,0.03999999999999998,0.07999999999999996,2.6699999999999995,9.4,4.899999999999999,21.0,3.5,1,2,4,7
48,Youri,Tielemans,Tielemans,a,,,6.0,85,,1.9,128,,2.3,,,2,0,,0,,2122,6470,0.4,1.2,2.3,2.3,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,90,0,0,0,3,0,0,0,0,0,0,1,0,18,9946,27466,0.0,0.09,0.04999999999999999,0.13999999999999996,2.6699999999999995,15.600000000000001,20.000000000000007,17.0,5.299999999999999,1,1,5,7
49,Leon,Bailey,Bailey,u,Has joined AS Roma on loan for the rest of the season.,,5.5,143,,0.2,380,,0.0,,,0,0,,0,,0,1420,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
50,Emiliano,Buendía Stati,Buendía,a,,,5.3,219,,0.1,488,,0.7,,,1,-1,,-2,,213,456,0.1,0.4,0.7,0.7,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,45,0,0,0,2,0,0,0,0,0,0,0,0,7,546,2583,0.0,0.009999999999999981,0.12,0.13,0.95,11.399999999999999,34.099999999999994,12.0,5.8,3,1,3,7
51,Samuel,Iling-Junior,Iling Jr,a,has joined West Bromwich Albion on loan for the rest of the season,,5.5,158,,0.0,620,,0.0,,,0,0,,0,,113,115,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
53,Donyell,Malen,Malen,a,,,5.3,220,,1.0,181,,1.3,,,2,0,,-2,,1118,5873,0.2,0.8,1.3,1.3,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,82,0,0,0,3,0,0,0,0,0,0,1,0,1,3081,31633,0.0,0.18,0.02,0.2,2.29,0.0,6.2,5.0,0.8999999999999999,0,0,3,3
54,John,McGinn,McGinn,a,,,5.5,129,,0.6,217,,2.3,,,2,0,,0,,980,2168,0.4,1.3,2.3,2.3,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,73,0,0,0,2,0,0,0,0,0,0,1,0,18,4045,9001,0.0,0.0,0.12000000000000002,0.12,1.77,8.0,13.899999999999999,0.0,2.1999999999999993,2,1,3,6
55,Ross,Barkley,Barkley,d,Knock - 25% chance of playing,,4.9,320,,0.1,558,,0.0,,,0,0,,-1,,8,281,0.0,0.0,0.0,0.0,,,,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
