player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,defensive_contributions
678,25-26-prem-sunderland-vs-aston-villa,10,0,0,0,0.0,0.00024546,0,0,0,0,7,2,67,0.0,0,0,0.0,0,0.0,0,0,0,0,2,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,2
6,25-26-prem-arsenal-vs-manchester-city,90,0,0,1,0.1,0.0179808,0,0,0,1,112,96,96,0.0,5,0,0.0,3,75,2,0,8,0,4,2,0,10,2,5,83,5,83,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,50,0.0,4,0,90,1,0,0,17
403,25-26-prem-arsenal-vs-manchester-city,90,0,0,0,0.0,0.00264777,0,1,0,0,51,24,73,0.0,9,0,0.0,2,50,2,2,6,1,9,6,1,6,2,3,60,3,100,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,100,0.0,2,0,90,1,0,0,20
427,25-26-prem-arsenal-vs-manchester-city,90,0,1,1,0.06,0.0361196,1,1,0,1,41,20,80,2.0,3,0,0.0,0,0.0,0,0,7,0,4,1,0,2,4,1,20,1,100,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,50,0.0,0.1012,0,0,90,1,0,0,12
390,25-26-prem-liverpool-vs-everton,90,1,1,1,0.13,0.193269,1,1,0,1,69,47,84,1.0,8,0,0.0,1,20,1,1,7,0,1,1,2,7,4,6,67,1,50,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,20,0.6787,5,0,90,1,0,0,14
299,25-26-prem-liverpool-vs-everton,85,0,1,0,0.0,0.16092,0,9,0,1,56,20,80,2.0,1,1,50,1,50,2,0,9,0,1,1,3,14,13,14,54,0,0.0,3,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,69,100,0.0,2,0,0,2,0,0,12
661,25-26-prem-liverpool-vs-everton,66,1,0,2,0.32,0.0614979,1,4,0,2,37,13,68,0.0,1,0,0.0,0,0.0,0,1,4,1,3,2,0,7,4,6,67,1,50,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,0.0,0.3519,2,0,0,1,0,0,11
302,25-26-prem-liverpool-vs-everton,90,1,0,3,0.26,0.0157345,2,0,0,4,60,35,80,0.0,7,0,0.0,3,60,1,2,7,1,0,0,2,2,2,2,50,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,50,0.5691,2,0,90,2,0,0,12
291,25-26-prem-liverpool-vs-everton,90,0,0,0,0.0,0.0185309,0,0,0,0,57,32,76,0.0,8,0,0.0,3,38,3,1,2,2,8,7,1,6,2,4,80,2,67,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,100,0.0,3,0,90,2,0,0,16
303,25-26-prem-liverpool-vs-everton,90,0,0,2,0.04,0.0173809,0,0,0,0,63,35,88,0.0,7,0,0.0,1,50,3,3,7,0,3,1,0,6,3,5,63,1,100,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,60,0.0,5,0,90,2,0,0,18
384,25-26-prem-liverpool-vs-everton,60,0,0,1,0.08,0.0968138,0,0,0,4,41,18,82,2.0,0,0,0.0,0,0.0,1,1,2,0,3,2,3,4,8,2,29,2,40,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,100,0.0,1,0,0,1,0,0,7
421,25-26-prem-arsenal-vs-manchester-city,90,0,0,1,0.06,0.00801256,0,1,0,0,65,37,88,0.0,4,0,0.0,3,100,1,0,3,0,11,7,2,8,3,4,57,4,100,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,50,0.0,2,0,90,1,0,0,16
20,25-26-prem-arsenal-vs-manchester-city,83,0,0,2,0.1,0.0503824,0,2,0,4,53,29,78,0.0,4,0,0.0,5,71,1,2,1,0,0,0,0,3,0,3,100,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,100,0.0,1,0,0,1,0,0,4
21,25-26-prem-arsenal-vs-manchester-city,90,0,0,0,0.0,0.159718,0,0,0,0,109,87,97,2.0,7,2,22,8,100,1,0,6,0,1,1,1,3,4,2,50,1,33,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,50,0.0,2,0,90,1,0,0,9
411,25-26-prem-arsenal-vs-manchester-city,86,0,0,0,0.0,0.00157276,0,1,0,0,46,12,86,0.0,3,0,0.0,1,50,0,1,3,0,6,4,0,4,3,3,50,1,100,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,50,0.0,0.0,2,0,0,0,0,0,11
16,25-26-prem-arsenal-vs-manchester-city,45,0,0,1,0.04,0.214251,0,3,0,2,41,22,88,2.0,2,2,50,1,33,0,0,3,0,0,0,1,6,4,6,60,0,0.0,3,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,0.0,0.0,0,0,90,1,0,0,3
19,25-26-prem-arsenal-vs-manchester-city,10,1,0,1,0.2,0.00054006,1,0,0,1,5,1,100,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.7998,0,0,90,1,0,0,0
293,25-26-prem-liverpool-vs-everton,90,0,0,0,0.0,0.0197524,0,1,0,0,43,13,62,0.0,3,1,33,0,0.0,0,0,1,0,1,0,0,5,4,1,100,4,50,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,0.0,0.0,0,0,90,2,0,0,2
58,25-26-prem-sunderland-vs-aston-villa,81,0,1,0,0.0,0.0849105,0,0,0,0,78,63,93,2.0,12,0,0.0,2,67,2,1,2,1,2,2,2,5,5,3,43,2,67,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,100,0.0,2,0,0,1,0,0,8
560,25-26-prem-sunderland-vs-aston-villa,79,1,0,6,0.62,0.00001301,2,1,0,5,17,1,25,0.0,1,0,0.0,0,0.0,1,0,2,0,0,0,0,5,4,3,75,2,40,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,100,0.879,1,0,0,1,0,0,3
40,25-26-prem-sunderland-vs-aston-villa,90,0,0,0,0.0,0.0329927,0,0,0,1,85,66,93,2.0,9,0,0.0,3,50,0,0,2,0,13,11,0,7,1,0,0.0,7,88,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,14
683,25-26-prem-sunderland-vs-aston-villa,90,0,0,2,0.14,0.00297071,1,0,0,3,45,20,74,0.0,2,0,0.0,2,50,1,2,5,1,7,6,0,5,4,3,60,2,50,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,33,0.0725,3,0,90,1,0,0,18
551,25-26-prem-sunderland-vs-aston-villa,36,0,0,1,0.05,0.0254045,0,1,0,1,14,9,82,1.0,1,0,0.0,1,50,1,0,0,0,0,0,0,2,1,2,67,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,100,0.0,1,0,0,1,0,0,1
47,25-26-prem-sunderland-vs-aston-villa,81,0,0,0,0.0,0.278671,0,0,0,6,44,25,86,2.0,1,0,0.0,2,67,0,0,1,0,1,1,0,2,9,1,13,1,33,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,2
724,25-26-prem-sunderland-vs-aston-villa,9,0,0,0,0.0,0.00000162,0,0,0,0,6,1,33,0.0,1,0,0.0,0,0.0,0,1,0,1,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,2
414,25-26-prem-arsenal-vs-manchester-city,67,0,0,0,0.0,0.00502637,0,0,0,0,27,15,79,0.0,0,0,0.0,0,0.0,2,0,2,0,4,0,0,2,2,2,50,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,100,0.0,2,0,0,0,0,0,8
469,25-26-prem-afc-bournemouth-vs-newcastle-united,90,0,0,0,0.0,0.00151017,0,0,0,0,41,12,40,0.0,10,0,0.0,6,25,0,0,11,0,1,0,0,1,0,0,0.0,1,100,0,0,2,0,0.26,0.26,3,12,6,0.0,3,0,0,0.0,0.0,0.0,0,0,90,0,0,0,12
85,25-26-prem-afc-bournemouth-vs-newcastle-united,90,0,0,1,0.02,0.00910349,1,0,0,1,81,50,79,0.0,7,0,0.0,1,33,2,5,4,0,0,0,1,7,4,4,57,3,75,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,67,0.112,3,0,90,0,0,0,11
491,25-26-prem-afc-bournemouth-vs-newcastle-united,90,0,0,2,0.06,0.16885,0,2,0,1,71,49,88,2.0,12,1,50,2,67,2,0,5,0,0,0,3,5,4,5,63,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,67,0.0,3,0,90,0,0,0,8
476,25-26-prem-afc-bournemouth-vs-newcastle-united,90,0,0,0,0.0,0.0262541,0,2,0,1,54,23,70,0.0,5,0,0.0,1,33,1,1,5,1,11,10,2,8,9,4,50,4,44,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,50,0.0,2,0,90,0,0,0,20
72,25-26-prem-afc-bournemouth-vs-newcastle-united,90,0,0,0,0.0,0.0293957,0,0,0,1,108,72,79,1.0,25,0,0.0,9,36,0,3,3,0,8,3,2,3,3,0,0.0,3,75,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,14
475,25-26-prem-afc-bournemouth-vs-newcastle-united,90,0,0,0,0.0,0.00193412,0,1,0,0,65,42,79,0.0,4,0,0.0,2,25,0,0,7,1,8,5,0,4,1,1,50,3,100,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,0.0,0.0,0,0,90,0,0,0,16
26,25-26-prem-arsenal-vs-manchester-city,90,0,0,1,0.06,0.037306,0,0,0,5,73,56,93,1.0,9,1,33,2,67,0,1,3,0,1,1,1,1,5,0,0.0,1,25,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,8,1,0,0,5
408,25-26-prem-arsenal-vs-manchester-city,90,0,0,0,0.0,0.00232853,0,0,0,0,34,22,81,0.0,5,0,0.0,1,25,0,0,1,0,6,1,0,1,4,0,0.0,1,20,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,7
406,25-26-prem-arsenal-vs-manchester-city,45,0,0,0,0.0,0.00095542,0,0,0,0,29,14,82,0.0,5,0,0.0,1,33,0,0,3,0,2,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6
22,25-26-prem-arsenal-vs-manchester-city,45,0,0,0,0.0,0.0287658,0,1,0,0,34,18,90,1.0,4,0,0.0,0,0.0,0,1,4,0,1,1,0,3,4,3,60,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,100,0.0,0.0,1,0,0,1,0,0,7
405,25-26-prem-arsenal-vs-manchester-city,22,0,0,0,0.0,0.0317704,0,0,0,0,9,5,83,0.0,1,0,0.0,0,0.0,0,0,0,0,2,0,0,1,0,1,100,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,2
18,25-26-prem-arsenal-vs-manchester-city,45,0,0,2,0.15,0.00648077,1,0,1,6,32,10,63,0.0,0,0,0.0,1,50,0,0,2,0,0,0,2,0,5,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.2447,0,0,0,1,0,0,2
67,25-26-prem-afc-bournemouth-vs-newcastle-united,90,0,0,0,0.0,0.00005981,0,0,0,0,26,12,63,0.0,0,0,0.0,0,0.0,0,0,5,0,1,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.1,0.1,0,12,0,0.0,1,0,0,0.0,0.0,0.0,0,0,90,0,0,0,6
423,25-26-prem-arsenal-vs-manchester-city,14,0,0,0,0.0,0.00089078,0,1,0,0,10,6,86,0.0,1,0,0.0,0,0.0,0,0,1,0,1,0,1,2,7,1,25,1,20,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,50,0.0,0.0,0,0,90,1,0,0,2
666,25-26-prem-arsenal-vs-manchester-city,90,0,0,0,0.0,0.0106141,0,0,0,6,22,6,55,0.0,1,0,0.0,0,0.0,0,0,3,0,0,0,0,2,5,0,0.0,2,50,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,3
