match_id,shot_index,minute,added_time,is_home,player_id,player_name,outcome,situation,body_part,xg,xgot,start_x,start_y,goal_mouth_y,goal_mouth_z,goal_mouth_location
25-26-prem-arsenal-vs-brighton-hove-albion,1,90,4,True,16,Saka,block,fast-break,left-foot,0.1482,,14.8,43.8,46.7,19,low-right
25-26-prem-arsenal-vs-brighton-hove-albion,2,86,,True,31,G.Jesus,block,regular,right-foot,0.0357,,13.8,37.4,53.7,19,low-left
25-26-prem-arsenal-vs-brighton-hove-albion,3,85,,True,19,Martinelli,miss,fast-break,right-foot,0.4866,,8.4,52.4,48.9,55.6,close-high
25-26-prem-arsenal-vs-brighton-hove-albion,4,84,,True,5,Gabriel,miss,corner,head,0.0214,,11.6,50.9,42.2,23.6,close-right
25-26-prem-arsenal-vs-brighton-hove-albion,5,83,,True,21,Rice,block,regular,right-foot,0.0234,,5.2,70.9,48.6,19,low-centre
25-26-prem-arsenal-vs-brighton-hove-albion,6,83,,True,31,G.Jesus,block,assisted,left-foot,0.0588,,14.1,47.7,49.7,19,low-centre
25-26-prem-arsenal-vs-brighton-hove-albion,7,77,,False,173,Wieffer,miss,corner,head,0.2322,,3.6,52.3,47.7,65.3,high
25-26-prem-arsenal-vs-brighton-hove-albion,8,76,,False,160,Minteh,save,assisted,left-foot,0.0837,0.3093,14.2,62.5,52.9,24.1,high-left
25-26-prem-arsenal-vs-brighton-hove-albion,9,66,,False,166,Ayari,block,regular,right-foot,0.141,,14.5,47.3,51,19,low-centre
25-26-prem-arsenal-vs-brighton-hove-albion,10,66,,False,166,Ayari,block,regular,right-foot,0.1203,,16,49.3,47,19,low-right
25-26-prem-arsenal-vs-brighton-hove-albion,11,64,,False,169,Gomez,goal,regular,right-foot,0.1216,0.7065,11.3,48,46.2,26.6,high-right
25-26-prem-arsenal-vs-brighton-hove-albion,12,64,,False,166,Ayari,post,assisted,right-foot,0.0251,,15.3,64.6,55.2,4.4,left
25-26-prem-arsenal-vs-brighton-hove-albion,13,61,,True,16,Saka,block,assisted,left-foot,0.0342,,16.2,68.2,50.7,19,low-centre
25-26-prem-arsenal-vs-brighton-hove-albion,14,61,,True,666,Gyökeres,save,regular,right-foot,0.0532,0.0736,3.9,68.3,48,20.3,high-right
25-26-prem-arsenal-vs-brighton-hove-albion,15,55,,False,166,Ayari,miss,regular,left-foot,0.0469,,22.9,52.1,71.3,80.6,high-left
25-26-prem-arsenal-vs-brighton-hove-albion,17,51,,True,17,Ødegaard,block,assisted,left-foot,0.1038,,13.9,42.5,50.7,19,low-centre
25-26-prem-arsenal-vs-brighton-hove-albion,18,50,,False,163,Hinshelwood,save,assisted,right-foot,0.0789,0.0999,15.6,57.3,50,4.4,low-centre
25-26-prem-arsenal-vs-brighton-hove-albion,19,44,,True,20,Trossard,miss,regular,right-foot,0.4472,,3.9,40.5,50.1,52.8,close-high
25-26-prem-arsenal-vs-brighton-hove-albion,20,44,,True,26,Zubimendi,save,assisted,left-foot,0.4217,0.9409,7,48.6,54.2,1.9,low-left
25-26-prem-arsenal-vs-brighton-hove-albion,21,44,,True,22,Merino,block,regular,left-foot,0.0868,,14.1,42.6,47.4,19,low-right
25-26-prem-arsenal-vs-brighton-hove-albion,22,44,,True,666,Gyökeres,block,assisted,head,0.2461,,4.9,48.6,54.6,19,low-left
