player_code,player_id,first_name,second_name,web_name,team_code,position
232413,266,Eberechi,Eze,Eze,3,Midfielder
500040,662,Cristhian,Mosquera,Mosquera,3,Defender
441240,92,Romain,Faivre,Faivre,91,Midfielder
489888,697,Amine,Adli,Adli,91,Midfielder
224117,666,Viktor,Gyökeres,Gyökeres,3,Forward
616077,700,Max,Dowman,Dowman,3,Midfielder
569577,701,Triston,Rowe,Rowe,7,Defender
645618,702,Bradley,Burrowes,Burrowes,7,Midfielder
564505,703,Sam,Proctor,Proctor,7,Goalkeeper
481283,688,James,Wright,Wright,7,Goalkeeper
469272,210,Loum,Tchaouna,Tchaouna,90,Midfielder
444172,68,Will,Dennis,Dennis,91,Goalkeeper
568791,69,Callan,McKenna,McKenna,91,Goalkeeper
158499,87,Ryan,Christie,Christie,91,Midfielder
485337,677,Evann,Guessand,Guessand,7,Midfielder
180804,198,Axel,Tuanzebe,Tuanzebe,90,Defender
444180,200,Jaidon,Anthony,Anthony,90,Midfielder
179458,202,Jacob,Bruun Larsen,Bruun Larsen,90,Midfielder
174592,206,Marcus,Edwards,Edwards,90,Midfielder
465527,207,Hannibal,Mejbri,Hannibal,90,Midfielder
447715,211,Aaron,Ramsey,A.Ramsey,90,Midfielder
67089,470,Martin,Dúbravka,Dúbravka,90,Goalkeeper
503714,676,Lesley,Ugochukwu,Ugochukwu,90,Midfielder
440323,680,Armando,Broja,Broja,90,Forward
69752,66,Norberto,Murara Neto,Neto,91,Goalkeeper
495145,70,Alex,Paulsen,Paulsen,91,Goalkeeper
477580,71,Illia,Zabarnyi,Zabarnyi,91,Defender
221466,72,Marcos,Senesi Barón,Senesi,91,Defender
54469,73,Adam,Smith,Smith,91,Defender
494521,74,Adrien,Truffert,Truffert,91,Defender
541462,75,Matai,Akinmboni,Akinmboni,91,Defender
518906,76,Owen,Bevan,Bevan,91,Defender
463981,77,James,Hill,Hill,91,Defender
436893,78,Julián,Araujo Zúñiga,J.Araujo,91,Defender
223911,79,Chris,Mepham,Mepham,91,Defender
575901,80,Julio,Soler Barreto,Soler,91,Defender
222683,81,Justin,Kluivert,Kluivert,91,Midfielder
437730,82,Antoine,Semenyo,Semenyo,91,Midfielder
201658,84,Marcus,Tavernier,Tavernier,91,Midfielder
200785,85,Tyler,Adams,Adams,91,Midfielder
111317,86,David,Brooks,Brooks,91,Midfielder
155408,88,Lewis,Cook,Cook,91,Midfielder
168991,89,Philip,Billing,Philip,91,Midfielder
503139,90,Alex,Scott,Scott,91,Midfielder
224995,91,Luis,Sinisterra Lucumí,Sinisterra,91,Midfielder
424044,93,Hamed,Traorè,H.Traorè,91,Midfielder
550596,94,Dominic,Sadi,Sadi,91,Midfielder
530121,95,Zain,Silcott-Duberry,Silcott-Duberry,91,Midfielder
606775,96,Ben,Winterburn,Winterburn,91,Midfielder
444102,97,Francisco Evanilson,de Lima Barbosa,Evanilson,91,Forward
168636,98,Enes,Ünal,Enes Ünal,91,Forward
242882,685,Bafodé,Diakité,Diakité,91,Defender
606774,687,Remy,Rees-Dottin,Rees-Dottin,91,Midfielder
533463,83,Dango,Ouattara,O.Dango,94,Midfielder
587178,46,Yasin,Özcan,Yasin,7,Defender
244850,47,Morgan,Rogers,Rogers,7,Midfielder
166989,48,Youri,Tielemans,Tielemans,7,Midfielder
215711,49,Leon,Bailey,Bailey,7,Midfielder
195546,50,Emiliano,Buendía Stati,Buendía,7,Midfielder
469247,51,Samuel,Iling-Junior,Iling Jr,7,Midfielder
204646,53,Donyell,Malen,Malen,7,Midfielder
122806,54,John,McGinn,McGinn,7,Midfielder
88894,55,Ross,Barkley,Barkley,7,Midfielder
491287,56,Enzo,Barrenechea,Barrenechea,7,Midfielder
461421,57,Lewis,Dobbin,Dobbin,7,Midfielder
226944,58,Boubacar,Kamara,Kamara,7,Midfielder
449871,59,Amadou,Onana,Onana,7,Midfielder
577731,60,Ben,Broggio,Broggio,7,Midfielder
151589,61,Leander,Dendoncker,Dendoncker,7,Midfielder
559962,62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,7,Midfielder
537403,63,Kadan,Young,Young,7,Midfielder
178301,64,Ollie,Watkins,Watkins,7,Forward
576756,65,Zépiqueno,Redmond,Redmond,7,Forward
518030,183,Max,Weiß,Weiss,90,Goalkeeper
489571,184,Etienne,Green,Green,90,Goalkeeper
51943,185,Václav,Hladký,Hladký,90,Goalkeeper
192290,186,Connor,Roberts,Roberts,90,Defender
58621,187,Kyle,Walker,Walker,90,Defender
247245,188,Hannes,Delcroix,Delcroix,90,Defender
461567,189,Owen,Dodgson,Dodgson,90,Defender
478969,190,Hjalmar,Ekdal,Ekdal,90,Defender
477717,191,Maxime,Estève,Estève,90,Defender
494960,192,Quilindschy,Hartman,Hartman,90,Defender
461188,193,Bashir,Humphreys,Humphreys,90,Defender
241231,194,Jordan,Beyer,Jordan,90,Defender
450072,196,Shurandy,Sambo,Sambo,90,Defender
519895,197,Oliver,Sonne,Sonne,90,Defender
208912,199,Joe,Worrall,Worrall,90,Defender
183751,201,Manuel,Benson Hedilazio,Benson,90,Midfielder
578614,203,Enock,Agyei,Boateng,90,Midfielder
250735,204,Darko,Churlinov,Churlinov,90,Midfielder
172567,205,Josh,Cullen,Cullen,90,Midfielder
487702,208,Luca,Koleosho,Koleosho,90,Midfielder
167887,209,Josh,Laurent,Laurent,90,Midfielder
576323,212,Oluwaseun,Adewumi,Adewumi,90,Midfielder
551206,213,Jaydon,Banel,Banel,90,Midfielder
437748,214,Mike,Trésor Ndayishimiye,Trésor,90,Midfielder
431639,215,Zian,Flemming,Flemming,90,Forward
492831,216,Zeki,Amdouni,Amdouni,90,Forward
435973,217,Lyle,Foster,Foster,90,Forward
44699,218,Ashley,Barnes,Barnes,90,Forward
220598,219,Michael,Obafemi,Obafemi,90,Forward
457569,67,Đorđe,Petrović,Petrović,91,Goalkeeper
200720,101,Caoimhín,Kelleher,Kelleher,94,Goalkeeper
