gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,home_team_difficulty,away_team_difficulty,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed,home_penalties_missed,away_penalties_missed,home_penalties_saved,away_penalties_saved,home_own_goals,away_own_goals,home_bonus_points,away_bonus_points
4,2024-09-14T14:00:00,31,1741.27,2.0,2.0,13,1635.53,,,True,24-25-prem-crystal-palace-vs-leicester-city,/matches/leicester-city-vs-crystal-palace/2opi6m#4506296,67.0,33.0,2.55,2.55,20.0,20.0,4.0,4.0,4.0,4.0,2.0,2.0,503.0,503.0,85.0,85.0,11.0,11.0,5.0,5.0,1.48,1.48,0.28,0.28,1.76,1.76,1.83,1.83,6.0,6.0,10.0,10.0,0.0,0.0,16.0,16.0,4.0,4.0,595.0,595.0,234.0,234.0,269.0,269.0,39.0,39.0,64.0,64.0,5.0,5.0,19.0,19.0,17.0,17.0,41.0,41.0,3.0,3.0,0.0,0.0,0.0,0.0,15.0,15.0,63.0,63.0,8.0,8.0,1.0,1.0,12.0,12.0,2.0,2.0,63.0,63.0,42.0,42.0,51.0,51.0,21.0,21.0,64.0,64.0,4.0,4.0,44.0,44.0,4506296,True,True,,,,,,,,
4,2024-09-14T14:00:00,54,1713.83,1.0,1.0,21,1729.66,,,True,24-25-prem-fulham-vs-west-ham-united,/matches/west-ham-united-vs-fulham/2u9b5i#4506297,54.0,46.0,1.54,1.54,21.0,21.0,5.0,5.0,4.0,4.0,3.0,3.0,316.0,316.0,80.0,80.0,15.0,15.0,3.0,3.0,1.39,1.39,0.15,0.15,1.54,1.54,0.79,0.79,8.0,8.0,8.0,8.0,0.0,0.0,17.0,17.0,4.0,4.0,395.0,395.0,187.0,187.0,129.0,129.0,26.0,26.0,47.0,47.0,9.0,9.0,41.0,41.0,28.0,28.0,29.0,29.0,3.0,3.0,2.0,2.0,0.0,0.0,19.0,19.0,63.0,63.0,13.0,13.0,3.0,3.0,21.0,21.0,2.0,2.0,80.0,80.0,59.0,59.0,58.0,58.0,21.0,21.0,68.0,68.0,12.0,12.0,57.0,57.0,4506297,True,True,,,,,,,,
4,2024-09-15T13:00:00,6,1790.58,0.0,1.0,3,1950.36,,,True,24-25-prem-tottenham-hotspur-vs-arsenal,/matches/tottenham-hotspur-vs-arsenal/2sx06r#4506301,64.0,36.0,0.71,0.71,15.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,437.0,437.0,88.0,88.0,13.0,13.0,7.0,7.0,0.69,0.69,0.02,0.02,0.71,0.71,0.28,0.28,4.0,4.0,6.0,6.0,0.0,0.0,10.0,10.0,5.0,5.0,494.0,494.0,153.0,153.0,284.0,284.0,14.0,14.0,47.0,47.0,8.0,8.0,26.0,26.0,22.0,22.0,29.0,29.0,2.0,2.0,5.0,5.0,0.0,0.0,13.0,13.0,65.0,65.0,9.0,9.0,3.0,3.0,24.0,24.0,3.0,3.0,51.0,51.0,37.0,37.0,46.0,46.0,14.0,14.0,48.0,48.0,7.0,7.0,35.0,35.0,4506301,True,True,,,,,,,,
4,2024-09-14T19:00:00,91,1702.65,0.0,1.0,8,1814.7,,,True,24-25-prem-afc-bournemouth-vs-chelsea,/matches/chelsea-vs-afc-bournemouth/2fe5n5#4506293,33.0,67.0,1.78,1.78,19.0,19.0,7.0,7.0,1.0,1.0,1.0,1.0,193.0,193.0,70.0,70.0,16.0,16.0,6.0,6.0,0.89,0.89,0.1,0.1,0.99,0.99,2.48,2.48,8.0,8.0,4.0,4.0,2.0,2.0,10.0,10.0,9.0,9.0,276.0,276.0,96.0,96.0,97.0,97.0,22.0,22.0,43.0,43.0,4.0,4.0,24.0,24.0,17.0,17.0,28.0,28.0,4.0,4.0,6.0,6.0,0.0,0.0,8.0,8.0,57.0,57.0,10.0,10.0,4.0,4.0,18.0,18.0,2.0,2.0,47.0,47.0,32.0,32.0,44.0,44.0,15.0,15.0,58.0,58.0,9.0,9.0,60.0,60.0,4506293,True,True,,,,,,,,
4,2024-09-15T15:30:00,39,1664.87,1.0,2.0,4,1809.33,,,True,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,/matches/wolverhampton-wanderers-vs-newcastle-united/2xxjcy#4506302,48.0,52.0,1.23,1.23,12.0,12.0,5.0,5.0,2.0,2.0,1.0,1.0,362.0,362.0,84.0,84.0,17.0,17.0,4.0,4.0,1.13,1.13,0.11,0.11,1.23,1.23,1.26,1.26,5.0,5.0,2.0,2.0,1.0,1.0,10.0,10.0,2.0,2.0,433.0,433.0,191.0,191.0,171.0,171.0,28.0,28.0,52.0,52.0,5.0,5.0,24.0,24.0,21.0,21.0,27.0,27.0,3.0,3.0,3.0,3.0,0.0,0.0,14.0,14.0,61.0,61.0,10.0,10.0,4.0,4.0,18.0,18.0,4.0,4.0,52.0,52.0,44.0,44.0,51.0,51.0,8.0,8.0,38.0,38.0,15.0,15.0,65.0,65.0,4506302,True,True,,,,,,,,
4,2024-09-14T16:30:00,7,1777.81,3.0,2.0,11,1673.04,,,True,24-25-prem-aston-villa-vs-everton,/matches/everton-vs-aston-villa/2ykmb4#4506294,73.0,27.0,2.12,2.12,17.0,17.0,8.0,8.0,6.0,6.0,4.0,4.0,602.0,602.0,91.0,91.0,10.0,10.0,6.0,6.0,1.7,1.7,0.42,0.42,2.12,2.12,2.36,2.36,6.0,6.0,3.0,3.0,0.0,0.0,13.0,13.0,4.0,4.0,665.0,665.0,187.0,187.0,415.0,415.0,20.0,20.0,53.0,53.0,7.0,7.0,33.0,33.0,18.0,18.0,31.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,15.0,75.0,75.0,4.0,4.0,1.0,1.0,9.0,9.0,0.0,0.0,46.0,46.0,37.0,37.0,48.0,48.0,9.0,9.0,45.0,45.0,6.0,6.0,43.0,43.0,4506294,True,True,,,,,,,,
4,2024-09-14T14:00:00,43,2060.21,2.0,1.0,94,1720.59,,,True,24-25-prem-manchester-city-vs-brentford,/matches/manchester-city-vs-brentford/2spwom#4506299,54.0,46.0,2.17,2.17,18.0,18.0,7.0,7.0,2.0,2.0,1.0,1.0,485.0,485.0,89.0,89.0,9.0,9.0,12.0,12.0,1.85,1.85,0.32,0.32,2.17,2.17,2.09,2.09,6.0,6.0,5.0,5.0,1.0,1.0,10.0,10.0,8.0,8.0,544.0,544.0,145.0,145.0,340.0,340.0,25.0,25.0,69.0,69.0,1.0,1.0,7.0,7.0,19.0,19.0,51.0,51.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,42.0,42.0,5.0,5.0,1.0,1.0,12.0,12.0,5.0,5.0,24.0,24.0,18.0,18.0,37.0,37.0,6.0,6.0,35.0,35.0,3.0,3.0,27.0,27.0,4506299,True,True,,,,,,,,
4,2024-09-14T14:00:00,36,1744.24,0.0,0.0,40,1567.4,,,True,24-25-prem-brighton-&-hove-albion-vs-ipswich-town,/matches/ipswich-town-vs-brighton-hove-albion/3ccoit#4506295,69.0,31.0,1.66,1.66,21.0,21.0,6.0,6.0,3.0,3.0,3.0,3.0,490.0,490.0,86.0,86.0,14.0,14.0,9.0,9.0,1.25,1.25,0.41,0.41,1.66,1.66,2.45,2.45,5.0,5.0,10.0,10.0,0.0,0.0,10.0,10.0,11.0,11.0,570.0,570.0,256.0,256.0,234.0,234.0,28.0,28.0,72.0,72.0,5.0,5.0,17.0,17.0,14.0,14.0,39.0,39.0,1.0,1.0,4.0,4.0,0.0,0.0,11.0,11.0,58.0,58.0,9.0,9.0,1.0,1.0,6.0,6.0,1.0,1.0,62.0,62.0,45.0,45.0,49.0,49.0,17.0,17.0,47.0,47.0,10.0,10.0,40.0,40.0,4506295,True,True,,,,,,,,
4,2024-09-14T11:30:00,20,1583.9,0.0,3.0,1,1766.38,,,True,24-25-prem-southampton-vs-manchester-united,/matches/southampton-vs-manchester-united/2wecfr#4506300,44.0,56.0,1.12,1.12,6.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,421.0,421.0,88.0,88.0,11.0,11.0,0.0,0.0,0.1,0.1,0.22,0.22,0.33,0.33,1.01,1.01,1.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,480.0,480.0,264.0,264.0,157.0,157.0,13.0,13.0,41.0,41.0,1.0,1.0,14.0,14.0,11.0,11.0,18.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,14.0,14.0,67.0,67.0,11.0,11.0,7.0,7.0,16.0,16.0,7.0,7.0,41.0,41.0,37.0,37.0,44.0,44.0,4.0,4.0,36.0,36.0,4.0,4.0,24.0,24.0,4506300,True,True,,,,,,,,
4,2024-09-14T14:00:00,14,1918.22,0.0,1.0,17,1654.59,,,True,24-25-prem-liverpool-vs-nottingham-forest,/matches/liverpool-vs-nottingham-forest/2xthvt#4506298,69.0,31.0,0.94,0.94,14.0,14.0,5.0,5.0,1.0,1.0,1.0,1.0,507.0,507.0,84.0,84.0,15.0,15.0,7.0,7.0,0.79,0.79,0.15,0.15,0.94,0.94,0.57,0.57,6.0,6.0,3.0,3.0,1.0,1.0,10.0,10.0,4.0,4.0,604.0,604.0,206.0,206.0,301.0,301.0,25.0,25.0,45.0,45.0,9.0,9.0,47.0,47.0,31.0,31.0,34.0,34.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,8.0,67.0,67.0,11.0,11.0,0.0,0.0,16.0,16.0,2.0,2.0,45.0,45.0,24.0,24.0,36.0,36.0,21.0,21.0,62.0,62.0,6.0,6.0,32.0,32.0,4506298,True,True,,,,,,,,
