id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
284,a,,,5.5,139,27,0,0,0,0,1.4,160,29,53,0,1.8,273,27,4,186,0.0,485,33,0.0,9.6,0,0,0,0,0,1.3,,5.94,0.83,6.77,14.29,0.53,0.07,0.6,1.26,192.2,258,21,163.7,195,21,475.0,64,19,82.5,162,20,,,,0,
339,a,,,4.5,414,26,0,0,0,0,1.5,149,22,0,0,0.0,506,70,0,0,0.0,197,54,0.0,0.0,0,0,0,0,0,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503,70,0.0,499,66,0.0,479,55,0.0,503,70,,,,0,
341,a,,,4.0,539,34,0,0,0,0,6.8,57,8,0,0,0.0,397,33,0,0,0.0,4,3,0.0,0.0,0,0,0,0,0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393,32,0.0,380,20,0.0,346,5,0.0,393,32,,,,0,
342,a,,,4.5,395,99,0,0,0,0,1.2,175,59,0,0,0.0,502,207,0,0,0.0,178,120,0.0,0.0,0,0,0,0,0,1.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499,207,0.0,494,206,0.0,473,205,0.0,499,207,,,,0,
343,a,,,4.5,392,96,0,0,0,0,0.5,274,100,0,0,0.0,500,205,0,0,0.0,175,117,0.0,0.0,0,0,0,0,0,1.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497,205,0.0,492,204,0.0,471,203,0.0,497,205,,,,0,
344,s,0.0,,4.0,576,159,0,0,0,0,0.2,447,181,0,0,0.0,425,156,0,0,0.0,41,20,0.0,0.0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422,156,0.0,412,154,0.0,380,146,0.0,422,156,,,,0,
345,a,,,4.0,578,161,0,0,0,0,0.4,299,113,0,0,0.0,426,157,0,0,0.0,43,22,0.0,0.0,0,0,0,0,0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423,157,0.0,413,155,0.0,381,147,0.0,423,157,,,,0,
346,a,,,4.0,549,143,0,0,0,0,0.5,277,102,0,0,0.0,403,143,0,0,0.0,14,4,0.0,0.0,0,0,0,0,0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,143,0.0,388,141,0.0,354,131,0.0,399,143,,,,0,
347,a,,,4.0,572,156,0,0,0,0,1.6,148,50,0,0,0.0,421,153,0,0,0.0,37,17,0.0,0.0,0,0,0,0,0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418,153,0.0,408,151,0.0,376,143,0.0,418,153,,,,0,
348,a,,,4.0,561,149,0,0,0,0,2.0,134,44,0,0,0.0,412,147,0,0,0.0,26,10,0.0,0.0,0,0,0,0,0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409,147,0.0,398,145,0.0,365,136,0.0,409,147,,,,0,
