id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
551,u,0.0,0.0,4.5,382,236,0,0,0,0,0.2,393,130,0,0,0.0,694,268,0,0,0.0,614,217,0.0,0.0,0,17482,0,53812,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688,265,0.0,682,265,0.0,663,257,0.0,688,265,,,,33,
552,u,0.0,0.0,4.0,663,179,0,0,0,0,0.1,458,161,0,0,0.0,604,205,0,0,0.0,469,163,0.0,0.0,0,3224,0,25936,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598,206,0.0,582,204,0.0,542,192,0.0,598,206,,,,33,
245,a,,,4.3,574,121,0,0,-2,2,0.2,360,136,31,0,1.5,373,122,0,146,0.2,373,122,0.0,7.2,0,29885,54,38367,44,0.7,-0.3,0.51,0.07,0.58,19.98,0.03,0.0,0.03,1.35,257.6,239,88,44.7,354,116,83.0,272,81,38.3,302,94,,,,33,
246,u,0.0,0.0,4.5,434,272,0,0,0,0,0.0,758,318,0,0,0.0,725,295,0,0,0.0,652,249,0.0,0.0,0,0,0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720,292,0.0,714,292,0.0,697,284,0.0,720,292,,,,33,
250,u,0.0,0.0,4.0,640,165,0,0,0,0,0.1,424,151,0,0,0.0,593,198,0,0,0.0,449,151,0.0,0.0,0,8149,0,45060,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585,197,0.0,564,195,0.0,524,183,0.0,585,197,,,,33,
251,d,75.0,100.0,5.5,115,31,0,0,-5,5,1.8,148,22,86,0,2.8,168,22,14,349,3.2,96,12,0.6,15.6,1,856366,7393,1353070,1813,2.8,2.7,5.91,0.2,6.11,15.28,0.56,0.02,0.58,1.46,352.4,185,20,95.3,281,32,508.0,50,20,95.4,130,20,,,,33,
772,a,,,5.0,194,119,0,0,0,0,0.0,703,288,9,0,1.3,413,199,0,32,0.5,341,158,0.1,1.8,0,1945,23,1151,25,1.0,0.0,0.13,0.27,0.4,3.24,0.08,0.16,0.24,1.87,18.2,480,221,52.6,342,194,13.0,412,215,8.5,434,208,,,,33,
121,a,100.0,100.0,5.4,138,86,0,0,-1,1,0.1,478,173,44,1,2.1,283,126,3,177,5.0,35,14,0.9,8.1,1,24916,218,26806,76,4.5,4.5,2.23,1.25,3.48,16.91,0.24,0.13,0.37,1.82,194.2,289,132,208.4,180,123,278.0,106,69,67.9,205,105,5.0,3.0,,33,
510,a,,,3.9,746,72,0,0,-1,1,1.7,151,22,0,0,0.0,579,48,0,0,0.0,423,30,0.0,0.0,0,126307,952,102854,655,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570,49,0.0,547,30,0.0,502,10,0.0,570,49,,,,33,
609,u,0.0,0.0,4.5,461,75,0,0,0,0,1.0,212,36,3,0,1.0,486,50,0,7,0.0,675,53,0.0,0.7,0,434203,0,400394,316,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.18,0.0,741,67,0.0,735,65,0.0,720,67,0.0,741,67,,,,33,
