player_code,player_id,first_name,second_name,web_name,team_id,position,team_code
226944,58,Boubacar,Kamara,Kamara,,Midfielder,7.0
587178,46,Yasin,Özcan,Yasin,,Defender,7.0
244850,47,Morgan,Rogers,Rogers,,Midfielder,7.0
166989,48,Youri,Tielemans,Tielemans,,Midfielder,7.0
215711,49,Leon,Bailey,Bailey,,Midfielder,7.0
195546,50,Emiliano,Buendía Stati,Buendía,,Midfielder,7.0
469247,51,Samuel,Iling-Junior,Iling Jr,,Midfielder,7.0
232653,52,Jacob,Ramsey,J.Ramsey,,Midfielder,7.0
204646,53,Donyell,Malen,Malen,,Midfielder,7.0
122806,54,John,McGinn,McGinn,,Midfielder,7.0
88894,55,Ross,Barkley,Barkley,,Midfielder,7.0
491287,56,Enzo,Barrenechea,Barrenechea,,Midfielder,7.0
461421,57,Lewis,Dobbin,Dobbin,,Midfielder,7.0
449871,59,Amadou,Onana,Onana,,Midfielder,7.0
577731,60,Ben,Broggio,Broggio,,Midfielder,7.0
151589,61,Leander,Dendoncker,Dendoncker,,Midfielder,7.0
559962,62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,,Midfielder,7.0
537403,63,Kadan,Young,Young,,Midfielder,7.0
178301,64,Ollie,Watkins,Watkins,,Forward,7.0
576756,65,Zépiqueno,Redmond,Redmond,,Forward,7.0
432720,182,James,Trafford,Trafford,,Goalkeeper,90.0
518030,183,Max,Weiß,Weiss,,Goalkeeper,90.0
489571,184,Etienne,Green,Green,,Goalkeeper,90.0
154561,1,David,Raya Martín,Raya,,Goalkeeper,3.0
109745,2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,,Goalkeeper,3.0
463748,3,Karl,Hein,Hein,,Goalkeeper,3.0
551221,4,Tommy,Setford,Setford,,Goalkeeper,3.0
226597,5,Gabriel,dos Santos Magalhães,Gabriel,,Defender,3.0
462424,6,William,Saliba,Saliba,,Defender,3.0
466075,7,Riccardo,Calafiori,Calafiori,,Defender,3.0
445122,8,Jurriën,Timber,J.Timber,,Defender,3.0
440854,9,Jakub,Kiwior,Kiwior,,Defender,3.0
499169,10,Myles,Lewis-Skelly,Lewis-Skelly,,Defender,3.0
198869,11,Benjamin,White,White,,Defender,3.0
206325,12,Oleksandr,Zinchenko,Zinchenko,,Defender,3.0
563324,13,Brayden,Clarke,Clarke,,Defender,3.0
588793,14,Maldini,Kacurri,Kacurri,,Defender,3.0
499167,15,Josh,Nichols,Nichols,,Defender,3.0
223340,16,Bukayo,Saka,Saka,,Midfielder,3.0
184029,17,Martin,Ødegaard,Ødegaard,,Midfielder,3.0
248857,18,Noni,Madueke,Madueke,,Midfielder,3.0
444145,19,Gabriel,Martinelli Silva,Martinelli,,Midfielder,3.0
116216,20,Leandro,Trossard,Trossard,,Midfielder,3.0
204480,21,Declan,Rice,Rice,,Midfielder,3.0
195384,22,Mikel,Merino Zazón,Merino,,Midfielder,3.0
438098,23,Fábio,Ferreira Vieira,Fábio Vieira,,Midfielder,3.0
128295,24,Christian,Nørgaard,Nørgaard,,Midfielder,3.0
