player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles_attempted,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed
569,25-26-friendly-tottenham-hotspur-vs-arsenal,63,0,0,0,0.0,0.0,0,1,0,0,43,31,91.0,0.0,6,0,0.0,1,33.0,1,1,3,0,4,3,0,3,2,2,67.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,50.0,100.0,0.0,,1.0,0.0,63.0,0.0,0.0,0.0
11,25-26-friendly-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,3,66,37,80.0,1.0,9,2,29.0,5,71.0,3,0,4,1,2,1,1,5,4,5,71.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,75.0,0.0,,4.0,0.0,92.0,1.0,0.0,0.0
565,25-26-friendly-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,42,18,46.0,0.0,6,0,0.0,6,22.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0,18,6,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,92.0,0.0,0.0,0.0
440,25-26-friendly-leeds-united-vs-manchester-united,45,0,0,1,0.0,0.0,0,2,0,4,37,18,86.0,3.0,2,1,33.0,1,50.0,1,0,0,0,0,0,0,3,3,3,50.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,67.0,100.0,0.0,,1.0,46.0,90.0,0.0,0.0,0.0
438,25-26-friendly-leeds-united-vs-manchester-united,45,0,0,0,0.0,0.0,0,0,0,0,48,37,82.0,0.0,4,0,0.0,0,0.0,1,0,4,0,2,2,0,3,1,1,50.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,100.0,0.0,,1.0,0.0,46.0,0.0,0.0,0.0
345,25-26-friendly-leeds-united-vs-manchester-united,45,0,0,0,0.0,0.0,0,0,0,0,41,30,97.0,0.0,0,0,0.0,2,67.0,0,1,2,1,7,3,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,46.0,90.0,0.0,0.0,0.0
578,25-26-friendly-wycombe-wanderers-vs-tottenham-hotspur,77,0,0,1,0.0,0.0,0,0,0,1,88,81,98.0,0.0,8,0,0.0,1,50.0,0,0,3,1,2,2,0,1,2,0,0.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,77.0,2.0,0.0,0.0
566,25-26-friendly-wycombe-wanderers-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,28,20,91.0,0.0,1,0,0.0,3,75.0,0,0,7,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,2,0.0,0.0,1,20,3,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,90.0,2.0,0.0,0.0
486,25-26-friendly-newcastle-united-vs-arsenal,90,1,0,2,0.0,0.0,1,1,0,1,17,7,78.0,0.0,0,0,0.0,0,0.0,0,0,1,0,1,0,0,3,1,3,75.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,100.0,0.0,0.0,,0.0,0.0,46.0,2.0,0.0,0.0
17,25-26-friendly-newcastle-united-vs-arsenal,45,1,0,4,0.0,0.0,3,1,0,2,23,9,64.0,0.0,4,0,0.0,1,33.0,0,0,1,0,0,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,100.0,0.0,0.0,,0.0,46.0,90.0,1.0,1.0,0.0
