match_id,shot_index,minute,added_time,is_home,player_id,player_name,outcome,situation,body_part,xg,xgot,start_x,start_y,goal_mouth_y,goal_mouth_z,goal_mouth_location
25-26-prem-arsenal-vs-newcastle-united,1,90,6,False,491,Tonali,block,assisted,right-foot,0.0186,,27.2,60.9,52.3,22.2,high-left
25-26-prem-arsenal-vs-newcastle-united,2,87,,True,17,Ødegaard,save,assisted,left-foot,0.032,0.194,19.8,71.1,46.1,6.3,low-right
25-26-prem-arsenal-vs-newcastle-united,3,84,,True,666,Gyökeres,block,assisted,right-foot,0.0298,,8.5,67.9,47.5,19,low-right
25-26-prem-arsenal-vs-newcastle-united,4,83,,False,476,Burn,save,assisted,head,0.0771,0.0872,7.6,41.5,51.6,19.6,low-centre
25-26-prem-arsenal-vs-newcastle-united,5,82,,True,19,Martinelli,save,corner,right-foot,0.0905,0.2802,12,55.2,51,26.6,high-centre
25-26-prem-arsenal-vs-newcastle-united,6,81,,True,16,Saka,block,assisted,left-foot,0.064,,9.5,67.5,51.6,19,low-centre
25-26-prem-arsenal-vs-newcastle-united,7,80,,False,135,Wissa,miss,assisted,right-foot,0.4828,,8.5,46,52.1,79.2,high
25-26-prem-arsenal-vs-newcastle-united,8,73,,True,26,Zubimendi,block,assisted,right-foot,0.1151,,13.8,53.4,47.9,19,low-right
25-26-prem-arsenal-vs-newcastle-united,9,70,,True,19,Martinelli,block,assisted,left-foot,0.1386,,12.9,48.4,48.5,19,low-centre
25-26-prem-arsenal-vs-newcastle-united,10,65,,False,491,Tonali,block,regular,right-foot,0.0152,,30.3,57,49.9,19,low-centre
25-26-prem-arsenal-vs-newcastle-united,11,58,,True,18,Madueke,block,set-piece,left-foot,0.0197,,19.6,69.3,48.5,19,low-centre
25-26-prem-arsenal-vs-newcastle-united,12,49,,True,266,Eze,miss,assisted,head,0.0736,,8.9,47,29.2,19.4,right
25-26-prem-arsenal-vs-newcastle-united,13,42,,False,491,Tonali,block,set-piece,right-foot,0.0139,,31.6,46.6,50,19,low-centre
25-26-prem-arsenal-vs-newcastle-united,14,38,,False,476,Burn,miss,regular,left-foot,0.0178,,18.8,30.3,24.2,9.7,right
25-26-prem-arsenal-vs-newcastle-united,15,31,,False,494,Willock,miss,assisted,right-foot,0.0371,,21.3,41.5,36,100,high-right
25-26-prem-arsenal-vs-newcastle-united,16,30,,False,491,Tonali,save,corner,right-foot,0.0193,0.0113,28.5,45.8,49.2,5.1,low-centre
25-26-prem-arsenal-vs-newcastle-united,17,30,,False,475,Botman,block,corner,head,0.1138,,6.9,51.3,49.1,19,low-centre
25-26-prem-arsenal-vs-newcastle-united,18,24,,False,52,J.Ramsey,miss,set-piece,right-foot,0.0196,,16.4,35.8,39.2,11.1,right
25-26-prem-arsenal-vs-newcastle-united,19,23,,True,18,Madueke,save,assisted,left-foot,0.0183,0.0339,29.6,61.3,51.8,4.4,low-centre
25-26-prem-arsenal-vs-newcastle-united,20,18,,False,494,Willock,save,assisted,right-foot,0.0231,0.0234,13.8,24.4,49.7,26.6,high-centre
25-26-prem-arsenal-vs-newcastle-united,21,16,,False,476,Burn,block,assisted,head,0.0442,,10.4,55.6,49.7,19,low-centre
25-26-prem-arsenal-vs-newcastle-united,22,9,,True,266,Eze,goal,corner,right-foot,0.0305,0.5614,19.6,65.4,54,26.6,high-left
25-26-prem-arsenal-vs-newcastle-united,23,8,,True,266,Eze,miss,corner,left-foot,0.0281,,21.2,68.1,42.7,9.7,close-right
25-26-prem-arsenal-vs-newcastle-united,24,4,,False,488,Bruno G.,miss,assisted,right-foot,0.0579,,20,46.4,47.4,77.8,high
25-26-prem-fulham-vs-aston-villa,1,88,,True,338,Muniz,block,assisted,right-foot,0.114,,10.2,46.4,45.7,4.2,low-right
25-26-prem-fulham-vs-aston-villa,2,86,,True,424,Bobb,save,assisted,right-foot,0.0986,0.2598,12.4,38.2,51,2.5,low-centre
25-26-prem-fulham-vs-aston-villa,3,86,,False,37,Digne,miss,throw-in-set-piece,left-foot,0.024,,25.7,40.1,60.7,91.7,high-left
25-26-prem-fulham-vs-aston-villa,4,83,,False,808,Abraham,miss,assisted,right-foot,0.2786,,14,45.7,42.5,72.2,high-right
25-26-prem-fulham-vs-aston-villa,5,72,,False,47,Rogers,block,assisted,right-foot,0.0275,,3.1,67.5,54.5,2.8,low-left
25-26-prem-fulham-vs-aston-villa,6,70,,False,48,Tielemans,miss,corner,head,0.0516,,8,43.6,62.9,6.9,left
25-26-prem-fulham-vs-aston-villa,7,65,,True,325,Smith Rowe,block,assisted,right-foot,0.0377,,19.5,52.8,52.2,19,low-left
25-26-prem-fulham-vs-aston-villa,8,60,,False,64,Watkins,miss,assisted,right-foot,0.0653,,15.1,51.7,41.3,55.6,close-high-right
25-26-prem-fulham-vs-aston-villa,9,50,,True,330,Berge,miss,set-piece,head,0.0809,,10.7,46.4,59,12.5,close-left
25-26-prem-fulham-vs-aston-villa,10,48,,True,329,Wilson,miss,regular,left-foot,0.0923,,18.4,51.7,41.2,5.6,close-right
25-26-prem-fulham-vs-aston-villa,11,43,,True,328,Sessegnon,goal,regular,left-foot,0.2433,0.4482,9,43.5,47.7,1.9,low-right
25-26-prem-fulham-vs-aston-villa,12,42,,True,332,Lukić,save,assisted,head,0.0888,0.074,7.5,41.8,48.8,15.8,low-centre
25-26-prem-fulham-vs-aston-villa,13,37,,True,329,Wilson,block,free-kick,left-foot,0.1021,,22.5,54.2,53.9,19,low-left
25-26-prem-fulham-vs-aston-villa,14,35,,False,64,Watkins,miss,assisted,right-foot,0.0451,,10.8,65.6,57.8,9.7,close-left
25-26-prem-fulham-vs-aston-villa,15,34,,False,47,Rogers,miss,assisted,right-foot,0.0761,,14.2,46.4,42.7,5.6,close-right
25-26-prem-fulham-vs-aston-villa,16,32,,True,330,Berge,block,assisted,right-foot,0.0328,,19.7,51.3,53.8,26.4,high-left
25-26-prem-fulham-vs-aston-villa,17,29,,False,47,Rogers,miss,fast-break,left-foot,0.0385,,22.9,63,61.8,90.3,high-left
25-26-prem-fulham-vs-aston-villa,18,25,,True,727,Chukwueze,save,regular,left-foot,0.0578,0.4945,18.9,52.6,53.9,6.3,low-left
25-26-prem-fulham-vs-aston-villa,19,11,,False,64,Watkins,save,assisted,right-foot,0.0354,0.0666,20.1,34.6,47.4,2.5,low-right
25-26-prem-fulham-vs-aston-villa,20,11,,True,332,Lukić,save,assisted,right-foot,0.0504,0.0139,19.5,43.8,50.1,10.8,low-centre
25-26-prem-fulham-vs-aston-villa,21,10,,True,329,Wilson,block,set-piece,left-foot,0.0134,,31.2,32.5,53.5,19,low-left
25-26-prem-fulham-vs-aston-villa,22,8,,False,50,Buendía,miss,assisted,left-foot,0.0726,,17.9,43,58.5,43.1,close-high-left
25-26-prem-fulham-vs-aston-villa,23,7,,True,337,Raúl,save,assisted,head,0.1373,0.3393,9.7,46.4,52.2,22.2,high-left
25-26-prem-liverpool-vs-crystal-palace,1,90,6,True,382,Wirtz,goal,throw-in-set-piece,right-foot,0.0381,0.3472,11.2,64.8,54,18.4,low-left
25-26-prem-liverpool-vs-crystal-palace,2,84,,False,654,Strand Larsen,post,fast-break,right-foot,0.4032,,12.1,65.8,55.2,8.2,left
25-26-prem-liverpool-vs-crystal-palace,3,77,,False,712,Yeremy,miss,assisted,right-foot,0.0376,,26.2,46.1,47.2,72.2,high
25-26-prem-liverpool-vs-crystal-palace,4,71,,False,256,Muñoz,goal,regular,right-foot,0.0384,0.0598,18.9,76.3,50.5,26.6,high-centre
25-26-prem-liverpool-vs-crystal-palace,5,71,,False,267,Sarr,save,assisted,right-foot,0.2509,0.3086,9,63.9,47.4,3.8,low-right
