id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
477,a,,,4.0,614,180,0,0,0,0,1.5,170,63,0,0,0.0,467,157,0,0,0.0,388,129,0.0,0.0,0,82533,627,66278,2765,-1.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460,159,0.0,447,160,0.0,403,139,0.0,464,159,,,,8,0.0
488,a,,,4.4,478,20,0,0,-1,1,0.2,354,53,0,0,0.0,521,62,0,0,0.0,454,58,0.0,0.0,0,4026,141,12283,346,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514,62,0.0,502,45,0.0,470,38,0.0,518,62,,,,8,0.0
489,a,,,4.7,344,226,-1,1,-3,3,0.1,404,144,4,1,1.0,358,173,0,10,0.3,324,165,0.1,0.9,0,6933,204,19428,477,0.8,0.8,0.0,0.01,0.01,0.12,0.0,0.03,0.03,0.32,9.0,374,182,2.9,361,199,0.0,591,267,1.2,402,201,,,,8,0.0
490,u,0.0,0.0,5.0,194,121,0,0,0,0,0.0,652,293,0,0,0.0,634,286,0,0,0.0,611,271,0.0,0.0,0,0,0,488,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631,284,0.0,628,285,0.0,623,284,0.0,633,286,,,,8,0.0
491,a,,,6.7,38,21,1,-1,2,-2,9.8,44,12,38,2,4.8,31,14,1,120,6.7,15,7,1.0,5.7,0,1057143,98777,125113,34484,7.2,7.2,3.98,0.5,4.48,7.88,0.59,0.07,0.66,1.18,151.0,80,27,111.8,79,61,326.0,5,3,59.0,18,14,,,,8,0.0
492,a,,,6.2,69,46,0,0,-3,3,2.7,118,41,33,9,4.1,49,23,5,125,7.0,10,6,1.1,5.3,0,234758,72497,221537,4777,7.5,7.5,1.27,1.25,2.52,7.78,0.19,0.18,0.37,1.13,179.4,48,16,287.3,6,6,229.0,19,11,69.4,8,7,3.0,,,8,26.666666666666668
493,u,0.0,0.0,4.9,267,176,0,0,-1,1,0.0,548,222,0,0,0.0,627,283,0,0,0.0,594,260,0.0,0.0,0,2052,0,10121,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623,280,0.0,620,282,0.0,609,278,0.0,625,282,,,,8,0.0
494,a,,,7.6,16,10,1,-1,1,-1,6.7,63,20,43,4,5.4,18,9,6,202,5.7,32,17,0.8,5.7,1,595440,62175,418780,25627,6.2,6.2,2.1,3.57,5.67,7.84,0.31,0.53,0.84,1.16,240.2,14,5,311.8,5,5,209.0,26,17,76.1,6,5,1.0,2.0,2.0,8,86.66666666666667
495,a,100.0,100.0,5.5,119,12,0,0,0,0,29.2,9,2,28,2,3.5,81,21,1,130,2.7,122,39,0.5,5.1,1,1225381,60792,1670288,53623,3.2,3.2,0.65,1.13,1.78,8.62,0.08,0.14,0.22,1.08,206.2,28,9,248.9,14,2,91.0,91,9,54.7,25,1,,1.0,,8,33.333333333333336
496,a,,,4.3,555,140,0,0,-2,2,0.2,369,131,0,0,0.0,515,191,0,0,0.0,446,172,0.0,0.0,0,6378,199,21385,567,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508,193,0.0,496,193,0.0,460,179,0.0,512,193,,,,8,0.0
497,a,100.0,75.0,6.8,33,15,0,0,-2,2,0.4,283,46,3,1,1.0,405,43,0,8,0.3,348,38,0.0,0.4,0,43212,932,124829,413,0.8,0.6,0.19,0.0,0.19,0.06,0.5,0.0,0.5,0.16,3.6,403,38,2.4,367,40,7.0,310,38,1.2,404,42,,,2.0,8,20.0
498,a,,,5.1,186,21,0,0,1,-1,10.3,41,15,30,2,3.8,61,12,2,145,3.0,100,31,0.6,5.9,1,869280,29490,480273,22125,3.5,3.5,0.97,0.59,1.56,8.68,0.12,0.07,0.19,1.08,197.6,35,10,58.8,162,38,126.0,61,6,38.4,60,9,,,,8,0.0
499,a,,,4.9,287,191,0,0,-1,1,0.2,361,126,14,4,1.8,243,107,0,72,3.0,98,43,0.6,2.9,0,14644,881,23378,602,3.5,3.5,0.6,0.16,0.76,2.14,0.21,0.06,0.27,0.75,80.0,197,82,62.4,146,101,44.0,164,100,18.6,197,101,,,,8,0.0
500,u,0.0,0.0,4.5,422,68,0,0,0,0,0.1,456,62,0,0,0.0,575,51,0,0,0.0,526,44,0.0,0.0,0,0,0,12200,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568,49,0.0,568,49,0.0,545,47,0.0,572,49,,,,8,0.0
502,u,0.0,0.0,5.4,135,80,0,0,-1,1,0.0,576,244,0,0,0.0,652,297,0,0,0.0,637,287,0.0,0.0,0,480,0,5128,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651,296,0.0,650,296,0.0,648,295,0.0,652,297,,,,8,0.0
503,a,100.0,100.0,9.9,5,4,1,-1,-1,1,7.4,57,17,41,8,6.8,6,5,7,176,2.7,125,57,0.3,4.1,1,802686,263022,1081553,7714,3.2,3.2,1.79,1.17,2.96,5.78,0.31,0.2,0.51,1.0,200.8,33,10,210.3,22,19,169.0,36,23,58.0,20,16,,,1.0,8,26.666666666666668
504,d,75.0,,4.4,518,116,0,0,-1,1,0.1,461,170,2,0,0.7,416,134,0,8,0.0,478,192,0.0,0.5,0,2054,17,5983,387,0.4,0.5,0.0,0.01,0.01,0.68,0.0,0.01,0.01,0.97,9.6,371,132,7.5,334,105,2.0,347,114,1.9,382,126,,,,8,0.0
505,a,100.0,100.0,4.9,290,30,0,0,-1,1,2.8,114,43,18,5,2.2,191,63,0,91,2.0,153,53,0.4,3.7,0,144674,17759,251667,4028,2.5,2.5,0.31,0.69,1.0,8.06,0.04,0.09,0.13,1.11,127.8,112,39,104.6,93,18,84.0,99,11,31.7,89,18,,,,8,0.0
506,a,100.0,100.0,4.7,341,43,1,-1,2,-2,11.8,37,13,26,1,3.7,70,15,2,122,4.3,50,12,0.9,5.5,1,957828,49679,436156,21691,4.8,4.8,0.11,0.68,0.79,6.92,0.02,0.1,0.12,1.0,140.6,95,33,35.5,220,60,30.0,205,54,20.7,179,52,,,,8,0.0
507,u,0.0,0.0,5.0,242,52,0,0,0,0,0.0,639,73,0,0,0.0,646,65,0,0,0.0,626,63,0.0,0.0,0,0,0,893,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644,65,0.0,642,64,0.0,639,64,0.0,646,65,,,,8,0.0
508,a,,,5.0,200,8,0,0,0,0,3.7,95,14,23,2,2.9,131,20,0,124,3.0,99,11,0.6,4.6,1,145311,6238,210305,8085,3.5,3.5,0.0,0.0,0.0,8.68,0.0,0.0,0.0,1.08,166.2,59,14,0.0,629,67,0.0,624,65,16.6,209,16,,,,8,0.0
1,u,0.0,0.0,5.4,137,82,0,0,-1,1,0.0,622,275,0,0,0.0,653,298,0,0,0.0,638,288,0.0,0.0,0,439,0,2681,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652,297,0.0,651,297,0.0,649,296,0.0,653,298,,,,8,0.0
2,a,100.0,100.0,6.8,32,14,0,0,-2,2,1.0,201,36,4,1,0.7,421,45,0,26,1.0,254,27,0.1,0.6,0,51618,1376,204084,3294,1.0,2.0,0.49,0.06,0.55,1.29,0.5,0.06,0.56,1.32,15.0,350,30,32.7,226,25,39.0,176,32,8.6,285,29,,,,8,0.0
3,a,,,6.3,61,3,1,-1,3,-3,27.6,11,3,40,1,5.0,21,2,4,136,1.3,217,69,0.2,6.3,1,2044122,73203,612816,97277,1.3,2.3,1.49,0.15,1.64,9.27,0.19,0.02,0.21,1.16,216.4,21,6,37.7,215,57,170.0,34,1,42.4,47,8,,,,8,0.0
4,a,100.0,75.0,8.3,10,4,0,0,3,-3,17.9,17,4,42,2,5.2,19,7,7,160,5.3,40,10,0.6,5.1,1,1906595,18878,1538758,111251,5.3,4.7,4.33,0.22,4.55,9.27,0.54,0.03,0.57,1.16,212.8,24,4,87.1,109,5,336.0,4,2,63.6,12,3,,,3.0,8,13.333333333333334
5,u,0.0,0.0,4.0,630,65,0,0,0,0,0.0,539,66,0,0,0.0,479,53,0,0,0.0,401,48,0.0,0.0,0,0,0,3373,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472,53,0.0,460,35,0.0,417,27,0.0,476,53,,,,8,0.0
6,d,75.0,75.0,5.5,121,13,0,0,0,0,1.5,172,64,19,0,3.2,106,31,0,77,1.3,215,68,0.2,3.5,0,210780,542,167430,17592,1.0,1.7,0.28,0.17,0.45,5.56,0.06,0.03,0.09,1.12,87.2,187,74,100.0,97,19,32.0,196,49,21.8,166,44,,,,8,0.0
7,a,,,4.8,301,200,0,0,-2,2,0.3,324,110,4,0,2.0,214,89,0,17,0.7,276,138,0.1,0.8,0,17723,483,30433,897,0.7,1.7,0.04,0.14,0.18,1.06,0.02,0.08,0.1,0.64,4.4,397,196,21.3,261,158,1.0,365,203,2.7,367,185,,,,8,0.0
8,a,,,4.8,323,37,0,0,-2,2,0.2,398,145,2,0,0.7,420,135,0,-2,0.3,328,105,0.1,0.4,0,6003,274,14700,443,0.3,1.3,0.0,0.0,0.0,2.72,0.0,0.0,0.0,4.08,10.6,364,129,0.5,392,136,0.0,597,214,1.1,407,134,,,,8,0.0
9,a,100.0,75.0,7.0,26,15,0,0,0,0,4.1,87,25,35,1,4.4,40,19,3,124,6.7,16,8,1.0,5.0,1,435729,13818,337941,41108,6.7,5.8,1.47,1.4,2.87,6.01,0.29,0.27,0.56,1.17,157.8,68,23,149.3,40,35,188.0,31,19,49.4,33,23,,,,8,0.0
12,a,,,4.5,436,263,0,0,0,0,0.3,311,103,3,1,1.0,345,162,0,12,0.7,269,133,0.2,0.7,0,32500,902,26228,1062,0.7,1.7,0.02,0.16,0.18,0.09,0.1,0.8,0.9,0.45,14.4,353,169,12.1,309,182,15.0,253,146,4.2,344,174,,,,8,0.0
13,i,0.0,0.0,8.2,12,8,0,0,-3,3,3.3,100,31,7,0,2.3,180,79,0,29,0.0,662,301,0.0,0.9,0,99623,188,1327509,5652,0.0,0.0,0.46,0.74,1.2,2.93,0.16,0.26,0.42,1.04,34.4,295,137,75.0,127,90,60.0,130,81,17.0,205,104,3.0,1.0,2.0,8,80.0
