id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
4,Gabriel,dos Santos Magalhães,Gabriel,a,,,8.0,8,1,22.9,14,4,5.0,49,21,1,0,0,0,0,8160,28210,0.6,3.1,5.0,5.0,5.0,60,26,,,101,45,252,87,33,3,89,24,,,,,,,,0.1,0.04,0.14,0.81,0.0,0.6,0.8,1.0,8.2,5,1,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8511.0,29672.0,0.0,0.0,0.14,0.14,1.31,0.0,0.0,0.0,0.0,3.0,6.0,4.0,9.0
5,Jurriën,Timber,J.Timber,a,,,6.5,39,3,0.3,280,103,0.2,418,146,0,0,0,0,0,4707,1362,0.0,0.2,0.2,0.2,0.5,418,145,100.0,100.0,329,127,316,115,662,217,362,131,,,,,,,,0.0,0.03,0.03,1.89,0.0,0.0,2.6,0.87,4.33,5,0,59.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,4899.0,1398.0,0.0,0.0,0.019999999999999997,0.019999999999999997,0.6100000000000001,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
6,William,Saliba,Saliba,i,Back injury - Unknown return date,,5.9,88,8,0.2,330,122,0.0,656,216,0,0,0,-1,1,159,446,0.0,0.0,0.0,0.0,0.0,656,216,0.0,0.0,652,217,655,217,649,216,654,217,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Myles,Lewis-Skelly,Lewis-Skelly,a,,,5.4,205,129,0.6,240,77,1.8,211,96,0,-1,1,-1,1,366,2412,0.3,1.7,1.8,1.8,2.2,218,96,,,252,105,129,81,175,90,221,101,,,,,,,,0.05,0.08,0.13,0.34,0.0,0.66,0.33,1.33,4.65,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,2503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Riccardo,Calafiori,Calafiori,a,,,5.8,106,11,50.7,3,1,5.8,24,9,1,0,0,3,-3,30170,24517,1.0,5.0,5.8,5.8,5.8,35,14,,,121,58,160,48,86,18,121,43,,,,,,,,0.14,0.13,0.27,0.81,0.0,0.65,0.87,1.08,3.89,5,1,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,32429.0,25610.0,0.0,0.07000000000000006,0.030000000000000027,0.10000000000000009,1.3099999999999996,0.0,0.0,0.0,0.0,3.0,2.0,5.0,5.0
9,Piero,Hincapié,Hincapie,a,,,5.3,225,31,0.9,194,72,0.4,361,128,0,0,0,-2,2,494,2558,0.1,0.4,0.4,0.4,1.0,362,136,,,327,126,336,124,308,117,348,127,,,,,,,,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,8.44,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,2652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Benjamin,White,White,a,,,5.5,131,15,5.3,73,29,4.2,75,34,0,0,0,0,0,2579,25584,0.8,3.8,4.2,4.2,5.2,52,22,100.0,100.0,98,44,83,20,125,35,97,30,,,,,,,,0.05,0.08,0.13,0.33,0.0,0.57,0.29,1.14,5.14,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2748.0,28881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Cristhian,Mosquera,Mosquera,a,,,5.3,232,33,1.7,141,56,2.4,162,64,0,0,0,-2,2,443,3956,0.5,2.3,2.4,2.4,6.0,28,12,100.0,100.0,241,99,313,113,607,212,304,113,,,,,,,,0.0,0.01,0.01,0.28,0.0,1.07,0.0,1.07,5.36,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,4496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Bukayo,Saka,Saka,a,,,9.5,4,3,13.3,30,11,6.4,16,6,2,0,0,0,0,37724,18053,0.7,3.4,6.4,6.4,6.4,20,8,,,8,6,43,36,1,1,2,2,2.0,2.0,1.0,,,,,0.7,0.21,0.91,0.77,0.0,0.65,0.87,1.08,6.71,5,2,80.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,41113.0,18780.0,0.0,0.3400000000000003,0.55,0.8900000000000001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
13,Declan,Rice,Rice,a,,,7.4,18,11,12.3,34,14,4.0,85,34,1,0,0,-1,1,4349,20018,0.5,2.7,4.0,4.0,4.0,102,39,,,29,13,33,29,293,143,48,35,1.0,1.0,,,,,,0.03,0.15,0.18,0.77,0.0,0.66,0.88,1.09,9.2,5,1,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,4554.0,20792.0,0.0,0.01999999999999999,0.05999999999999994,0.08000000000000007,1.31,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0
