match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,lineup_status,home_shot_model_xg,away_shot_model_xg,incident_timing_coverage,unlocated_card_count,quarantined_incident_count
25-26-prem-manchester-united-vs-burnley,,,,,,False,False,confirmed,3.6276,1.2537,available,0,0
25-26-prem-brighton-hove-albion-vs-manchester-city,,,,,,False,False,confirmed,2.2976,1.8202,available,0,0
25-26-prem-aston-villa-vs-crystal-palace,,,,,,False,False,confirmed,1.1405,2.6496,available,0,0
25-26-prem-chelsea-vs-fulham,,,,,,False,False,confirmed,2.35,1.0231,available,0,0
25-26-prem-nottingham-forest-vs-west-ham-united,,,,,,False,False,confirmed,0.7333,2.4205,available,0,0
25-26-prem-liverpool-vs-arsenal,,,,,,False,False,confirmed,0.5249,0.4853,available,0,0
25-26-prem-wolverhampton-wanderers-vs-everton,,,,,,False,False,confirmed,1.1093,1.932,available,0,0
25-26-prem-tottenham-hotspur-vs-afc-bournemouth,,,,,,False,False,confirmed,0.1873,1.5863,available,0,0
25-26-prem-sunderland-vs-brentford,,,,,,False,False,confirmed,1.5427,1.1977,available,0,0
25-26-prem-leeds-united-vs-newcastle-united,,,,,,False,False,confirmed,0.6876,0.4602,available,0,0
