code,id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,elo
3,1,Arsenal,ARS,4,1320,1325,1350,1350,1290,1300,1,1993
7,2,Aston Villa,AVL,3,1125,1250,1110,1200,1140,1300,2,1873
91,4,Bournemouth,BOU,3,1150,1180,1100,1160,1200,1200,127,1808
36,6,Brighton,BHA,3,1150,1175,1090,1140,1210,1210,131,1827
8,7,Chelsea,CHE,4,1185,1245,1150,1190,1220,1300,4,1903
2,11,Leeds,LEE,2,1050,1075,1050,1050,1050,1100,9,1722
1,14,Man Utd,MUN,3,1105,1125,1110,1110,1100,1140,12,1799
56,17,Sunderland,SUN,2,1050,1050,1050,1050,1050,1050,29,1547
