player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed
389,25-26-community-shield-liverpool-vs-crystal-palace,7,0,0,0,0.0,0.02,0,0,0,0,15,10,91.0,0.0,3,0,0.0,1,100.0,1,1,1,0,0,0,0,2,1,2,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,100.0,0.0,1.0,84,94,0,0,0
276,25-26-community-shield-liverpool-vs-crystal-palace,1,0,0,1,0.06,0.0,0,0,0,0,2,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,94,94,0,0,0
382,25-26-community-shield-liverpool-vs-crystal-palace,84,0,1,1,0.2,0.21,0,0,0,4,74,50,88.0,4.0,11,1,33.0,1,50.0,1,1,7,0,0,0,0,3,6,3,43.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,50.0,0.0,2.0,0,84,2,0,0
267,25-26-community-shield-liverpool-vs-crystal-palace,90,1,0,2,0.66,0.04,1,0,0,4,30,14,74.0,0.0,2,0,0.0,1,100.0,1,0,4,0,0,0,0,3,5,2,67.0,1,20.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,100.0,0.67,1.0,0,94,2,0,0
256,25-26-community-shield-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.1,0,2,0,2,61,22,79.0,3.0,2,2,33.0,1,33.0,4,1,6,0,1,1,2,10,9,9,64.0,1,20.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,67.0,57.0,0.0,7.0,0,94,2,0,0
387,25-26-community-shield-liverpool-vs-crystal-palace,90,0,1,2,0.06,0.07,2,0,0,1,75,55,87.0,3.0,6,0,0.0,6,86.0,1,0,2,1,0,0,0,4,4,3,60.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,33.0,0.18,3.0,0,94,2,0,0
371,25-26-community-shield-liverpool-vs-crystal-palace,84,0,0,1,0.02,0.49,0,2,0,0,83,54,92.0,3.0,7,2,67.0,1,25.0,1,1,3,1,2,2,2,6,3,3,60.0,3,75.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,100.0,100.0,0.0,1.0,0,84,2,0,0
366,25-26-community-shield-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,0,52,23,64.0,0.0,5,0,0.0,4,24.0,1,0,18,0,1,0,0,1,0,1,100.0,0,0.0,0,0,2,2,1.87,-0.13,1,23,4,,0,0,0,0,0.0,100.0,0.0,1.0,0,94,2,0,0
370,25-26-community-shield-liverpool-vs-crystal-palace,90,1,0,2,0.06,0.03,1,0,0,3,57,28,78.0,0.0,3,0,0.0,1,50.0,1,1,4,1,0,0,1,5,8,3,33.0,2,50.0,0,3,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,33.0,0.09,3.0,0,94,2,0,0
661,25-26-community-shield-liverpool-vs-crystal-palace,71,1,0,3,0.55,0.07,1,0,2,4,25,14,88.0,0.0,2,0,0.0,0,0.0,1,0,1,0,1,1,0,3,4,1,33.0,2,50.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,100.0,0.49,1.0,0,71,1,0,0
374,25-26-community-shield-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,0,57,38,83.0,0.0,1,0,0.0,1,17.0,1,1,6,0,7,5,0,4,2,1,33.0,3,100.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,100.0,0.0,1.0,0,94,2,0,0
