player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
399,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,30.0,0.0,0.0,1.0,0.02,0.44,1.0,,,2.0,37.0,29.0,88.0,2.0,4.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,50.0,0.0,,1.0,1.0,,,,,,,,0.0,,,,,,,0.05,,60,90,0,0.0,0,,,,,,,
8,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,60.0,1.0,0.0,2.0,0.4,0.02,1.0,,,3.0,27.0,12.0,75.0,0.0,3.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0,100.0,0.0,,,1.0,,,,,,,,0.0,,,,,,,0.68,,0,60,0,0.0,0,,,,,,,
9,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,30.0,0.0,0.0,,,0.07,,,,0.0,22.0,10.0,100.0,1.0,,1.0,100.0,,,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,2.0,67.0,0.0,,1.0,1.0,,,,,,,,0.0,,,,,,,,,60,90,0,0.0,0,,,,,,,
557,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,90.0,0.0,2.0,,,0.43,,,,6.0,42.0,19.0,73.0,3.0,2.0,1.0,100.0,1.0,50.0,3.0,2.0,4.0,0.0,0.0,,1.0,5.0,9.0,5.0,38.0,0.0,0.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,0,90,0,0.0,0,,,,,,,
405,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,11.0,0.0,0.0,,,0.01,,,,0.0,10.0,9.0,90.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,79,90,0,0.0,0,,,,,,,
395,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,30.0,0.0,0.0,,,0.02,,,,1.0,22.0,14.0,93.0,0.0,2.0,,,,,1.0,0.0,3.0,0.0,0.0,,0.0,3.0,1.0,3.0,75.0,0.0,,2.0,0.0,,,,,,,,1.0,,,,,,,,,60,90,0,0.0,0,,,,,,,
11,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,90.0,0.0,0.0,,,,,,,0.0,49.0,40.0,87.0,0.0,2.0,,,1.0,33.0,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,2.0,2.0,50.0,0.0,,,1.0,,,,,,,,0.0,,,,,,,,,0,90,0,0.0,0,,,,,,,
387,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,53.0,0.0,0.0,,,,,,,1.0,31.0,20.0,87.0,0.0,1.0,,,1.0,100.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,25.0,1.0,100.0,,2.0,,,,,,,,1.0,,,,,,,,,0,54,3,0.0,0,,,,,,,
393,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,90.0,0.0,0.0,,,0.02,,,,0.0,77.0,58.0,92.0,0.0,9.0,,,2.0,50.0,5.0,2.0,4.0,1.0,1.0,1.0,0.0,9.0,,6.0,100.0,3.0,100.0,1.0,0.0,,,,,,,,0.0,,,,,,,,,0,90,3,0.0,0,,,,,,,
7,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,75.0,0.0,1.0,,,0.38,,,,0.0,40.0,30.0,94.0,1.0,4.0,,,0.0,0.0,1.0,1.0,1.0,0.0,2.0,,0.0,4.0,5.0,3.0,50.0,1.0,33.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,0,75,0,0.0,0,,,,,,,
396,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0,,,,,,,
20,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
