match_id,shot_index,minute,added_time,is_home,player_id,player_name,outcome,situation,body_part,xg,xgot,start_x,start_y,goal_mouth_y,goal_mouth_z,goal_mouth_location
25-26-prem-afc-bournemouth-vs-leeds-united,1,90,7,False,493,Longstaff,goal,throw-in-set-piece,right-foot,0.15,0.8416,10.5,51.9,45.8,12,low-right
25-26-prem-afc-bournemouth-vs-leeds-united,2,90,3,False,365,Nmecha,post,assisted,right-foot,0.2126,,7,50.5,44.3,12,right
25-26-prem-afc-bournemouth-vs-leeds-united,3,88,,True,72,Senesi,post,corner,head,0.1315,,6.7,51.9,52.1,39.9,high
25-26-prem-afc-bournemouth-vs-leeds-united,4,86,,True,807,Rayan,goal,corner,right-foot,0.2543,0.8869,8.3,50.2,54.5,5.1,low-left
25-26-prem-afc-bournemouth-vs-leeds-united,5,85,,True,697,Adli,block,assisted,left-foot,0.0529,,10.4,62.4,48.8,19,low-centre
25-26-prem-afc-bournemouth-vs-leeds-united,6,85,,False,348,Rodon,save,throw-in-set-piece,head,0.0192,0.0106,8.2,34.8,50,34.2,high-centre
25-26-prem-afc-bournemouth-vs-leeds-united,7,77,,True,90,Scott,save,assisted,right-foot,0.0323,0.0328,18.9,60.6,48.7,1.3,low-centre
25-26-prem-afc-bournemouth-vs-leeds-united,8,76,,True,77,Hill,miss,corner,head,0.1049,,7,47.9,56.1,52.8,close-high-left
25-26-prem-afc-bournemouth-vs-leeds-united,9,75,,True,807,Rayan,save,assisted,left-foot,0.045,0.0368,12.9,27.2,49.1,5.7,low-centre
25-26-prem-afc-bournemouth-vs-leeds-united,11,68,,False,351,Gnonto,miss,throw-in-set-piece,right-foot,0.0738,,5.1,64.4,98.3,1.4,left
25-26-prem-afc-bournemouth-vs-leeds-united,12,68,,False,365,Nmecha,block,throw-in-set-piece,right-foot,0.0954,,7.6,59.5,48.9,19,low-centre
25-26-prem-afc-bournemouth-vs-leeds-united,13,67,,False,365,Nmecha,block,assisted,left-foot,0.0384,,6.4,32.1,50.3,19,low-centre
25-26-prem-afc-bournemouth-vs-leeds-united,14,66,,False,365,Nmecha,miss,assisted,right-foot,0.0551,,11,40.8,48.6,81.9,high
25-26-prem-afc-bournemouth-vs-leeds-united,15,62,,False,698,Okafor,post,regular,right-foot,0.1136,,11.3,65.2,55.4,3.2,left
25-26-prem-afc-bournemouth-vs-leeds-united,16,60,,True,100,E. J. Kroupi,goal,fast-break,right-foot,0.2132,0.7216,10.3,47,50.6,22.2,high-centre
25-26-prem-afc-bournemouth-vs-leeds-united,17,57,,True,87,Christie,save,throw-in-set-piece,left-foot,0.0238,0.1405,9.2,69.4,48.5,1.9,low-centre
25-26-prem-afc-bournemouth-vs-leeds-united,18,54,,True,87,Christie,block,assisted,left-foot,0.0479,,18.1,49.5,54.3,19,low-left
25-26-prem-afc-bournemouth-vs-leeds-united,19,51,,True,86,Brooks,miss,assisted,right-foot,0.1817,,6.6,58.5,40.3,18.1,right
25-26-prem-afc-bournemouth-vs-leeds-united,20,49,,True,90,Scott,miss,corner,right-foot,0.0106,,24.3,40.2,50.6,83.3,high
25-26-prem-afc-bournemouth-vs-leeds-united,21,46,,False,698,Okafor,miss,regular,right-foot,0.0768,,13.9,52.4,40.5,8.3,right
25-26-prem-afc-bournemouth-vs-leeds-united,22,43,,True,84,Tavernier,block,assisted,left-foot,0.0562,,9.4,40.5,49.7,19,low-centre
25-26-prem-afc-bournemouth-vs-leeds-united,23,43,,True,87,Christie,save,assisted,right-foot,0.1013,0.156,3.2,61.5,49.4,1.3,low-centre
25-26-prem-afc-bournemouth-vs-leeds-united,24,37,,False,350,Aaronson,save,assisted,right-foot,0.0285,0.0946,14.5,27.7,47,4.4,low-right
25-26-prem-afc-bournemouth-vs-leeds-united,25,34,,True,86,Brooks,block,regular,left-foot,0.0197,,26.8,52.5,49.2,19,low-centre
25-26-prem-afc-bournemouth-vs-leeds-united,26,32,,True,74,Truffert,save,regular,right-foot,0.0569,0.0205,20.3,40.6,49.7,10.8,low-centre
