id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
206,a,,,4.7,377,236.0,0,0.0,-3,3.0,0.1,472,161.0,30,9,2.5,253.0,109.0,2,117,4.0,64.0,28.0,0.9,6.4,0.0,13465,3590,14493,480,4.0,3.5,0.81,1.34,2.15,10.5,0.15,0.25,0.4,1.94,125.4,282.0,127.0,184.5,131.0,94.0,125.0,165.0,96.0,43.3,217.0,109.0,,3.0,,22,,Marcus,Edwards,Edwards,,,487,1,2,1,7,0,0,0,0,0,0,4,28,,,,0.0,0.18,1.29,0.74,5.17,4,3,21
207,a,100.0,100.0,4.7,384,240.0,0,0.0,-3,3.0,0.1,474,163.0,23,1,1.5,388.0,174.0,0,91,0.2,380.0,172.0,0.0,4.9,0.0,13135,361,22760,168,0.2,-0.3,0.29,0.77,1.06,12.87,0.06,0.15,0.21,2.56,60.4,369.0,164.0,128.4,176.0,117.0,35.0,315.0,165.0,22.4,324.0,158.0,,4.0,,22,,Hannibal,Mejbri,Hannibal,,,453,0,2,1,11,0,0,0,4,0,0,5,37,,,,0.0,0.2,2.19,0.99,7.35,10,5,22
208,u,0.0,0.0,5.0,263,160.0,0,0.0,0,0.0,0.0,713,304.0,0,0,0.0,765.0,334.0,0,0,0.0,732.0,312.0,0.0,0.0,0.0,68,0,3006,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,334.0,0.0,763.0,334.0,0.0,756.0,332.0,0.0,765.0,334.0,,,,22,,Luca,Koleosho,Koleosho,has joined Paris FC on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
209,a,,,4.8,349,220.0,0,0.0,-2,2.0,0.0,592,224.0,42,1,2.2,288.0,125.0,1,173,4.2,55.0,22.0,0.9,8.8,0.0,5072,333,4798,281,4.2,3.7,0.43,0.23,0.66,24.45,0.04,0.02,0.06,2.08,214.8,198.0,84.0,80.2,247.0,150.0,68.0,256.0,140.0,36.4,259.0,126.0,,,,22,,Josh,Laurent,Laurent,,,1058,1,0,1,26,0,0,0,3,0,0,11,123,,,,0.0,0.09,2.21,0.94,10.46,29,59,35
210,a,,,4.9,331,206.0,0,0.0,-1,1.0,0.0,618,242.0,33,1,1.9,329.0,144.0,0,111,0.8,300.0,135.0,0.2,6.7,0.0,4581,46,5481,61,0.8,0.3,0.86,0.38,1.24,14.16,0.1,0.05,0.15,1.69,85.6,333.0,147.0,76.7,255.0,155.0,101.0,206.0,115.0,26.3,306.0,148.0,,2.0,,22,,Loum,Tchaouna,Tchaouna,,,753,1,1,2,11,0,0,0,1,0,0,9,45,,,,0.0,0.24,1.31,1.08,5.38,13,11,21
211,u,0.0,0.0,4.4,533,318.0,0,0.0,-1,1.0,1.5,154,52.0,0,0,0.0,647.0,247.0,0,0,0.0,583.0,203.0,0.0,0.0,0.0,62789,0,924325,919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,238.0,0.0,635.0,243.0,0.0,610.0,232.0,0.0,640.0,240.0,,,,22,,Aaron,Ramsey,A.Ramsey,has joined Leicester City on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
212,u,0.0,0.0,4.5,473,289.0,0,0.0,0,0.0,0.0,743,318.0,0,0,0.0,708.0,292.0,0,0,0.0,652.0,253.0,0.0,0.0,0.0,0,0,2731,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,290.0,0.0,702.0,291.0,0.0,684.0,285.0,0.0,707.0,291.0,,,,22,,Oluwaseun,Adewumi,Adewumi,Has joined Cercle Brugge on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
213,a,,,4.5,460,281.0,0,0.0,0,0.0,0.0,589,221.0,1,0,1.0,451.0,205.0,0,2,0.2,372.0,166.0,0.0,0.2,0.0,7419,89,7981,210,0.2,-0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.5,0.0,695.0,283.0,0.5,450.0,219.0,0.0,672.0,277.0,0.0,696.0,284.0,,,,22,,Jaydon,Banel,Banel,,,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
214,i,0.0,0.0,4.4,530,317.0,0,0.0,-1,1.0,0.1,533,189.0,4,0,1.0,442.0,197.0,0,10,0.4,336.0,149.0,0.1,0.9,0.0,11627,40,14504,385,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,2.18,0.6,476.0,220.0,0.4,453.0,221.0,2.0,422.0,209.0,0.3,475.0,219.0,,,,22,,Mike,Trésor Ndayishimiye,Trésor,Ankle injury - Unknown return date,,19,0,0,0,1,0,0,0,0,0,0,0,2,,,,0.0,0.0,4.74,0.0,9.47,0,0,2
215,d,75.0,0.0,5.3,193,44.0,0,0.0,-2,2.0,0.3,317,53.0,42,0,2.8,217.0,21.0,3,157,0.2,393.0,44.0,0.0,7.9,0.0,142082,89,133880,2815,0.2,0.0,3.15,0.16,3.31,13.86,0.43,0.02,0.45,1.89,209.0,203.0,16.0,58.6,293.0,30.0,207.0,88.0,26.0,46.8,198.0,22.0,,,1.0,22,,Zian,Flemming,Flemming,Lack of match fitness - 75% chance of playing,,660,5,0,2,10,0,0,0,3,0,0,8,31,,,,0.0,0.27,1.36,1.09,4.23,6,15,10
